dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-10-25 16:58:01.0,2017-10-25 17:01:00.0,2017-10-25 17:06:59.0,538,179,MSOMMNO_SWL3,359,19723249
2018-03-28 17:02:20.0,2018-03-28 17:06:15.0,2018-03-28 17:10:13.0,473,235,MSOMMNO_SWL3,238,13308770
2018-01-17 15:23:51.0,2018-01-17 15:29:14.0,2018-01-17 15:33:51.0,600,323,RD02_MSOMMNO,277,32824514
2018-01-17 15:33:51.0,2018-01-17 15:40:38.0,2018-01-17 15:43:52.0,601,407,RD02_MSOMMNO,194,277
2018-02-25 09:35:27.0,2018-02-25 09:40:23.0,2018-02-25 09:45:28.0,601,296,RD02_MSOMMNO,305,3350222
2018-03-06 09:45:43.0,2018-03-06 09:46:26.0,2018-03-06 09:50:43.0,300,43,RD02_MSOMMNO,257,777898
2018-03-06 11:05:43.0,2018-03-06 11:10:30.0,2018-03-06 11:15:43.0,600,287,RD02_MSOMMNO,313,4757
2018-03-07 09:30:43.0,2018-03-07 09:36:31.0,2018-03-07 09:38:41.0,478,348,RD02_MSOMMNO,130,80412
2018-03-07 09:40:44.0,2018-03-07 11:29:14.0,2018-03-07 11:32:01.0,6677,6510,RD02_MSOMMNO,167,252
2018-02-25 10:20:34.0,2018-02-25 10:33:23.0,2018-02-25 10:36:19.0,945,769,RD04_MSOMMNO,176,30159722
2018-03-06 09:45:49.0,2018-03-06 09:46:28.0,2018-03-06 09:50:48.0,299,39,RD04_MSOMMNO,260,774726
2018-03-06 10:20:48.0,2018-03-06 10:24:21.0,2018-03-06 10:30:49.0,601,213,RD04_MSOMMNO,388,2060
2018-03-06 12:10:49.0,2018-03-06 18:05:49.0,2018-03-06 18:08:54.0,21485,21300,RD04_MSOMMNO,185,6389
2018-03-07 09:30:48.0,2018-03-07 12:53:15.0,2018-03-07 12:55:12.0,12264,12147,RD04_MSOMMNO,117,55499
2018-04-12 11:02:07.0,2018-04-12 12:20:42.0,2018-04-12 12:23:20.0,4873,4715,RD04_MSOMMNO,158,3103622
2018-04-12 12:52:06.0,2018-04-12 12:56:55.0,2018-04-12 13:02:05.0,599,289,RD04_MSOMMNO,310,1884
2018-04-12 13:42:05.0,2018-04-12 13:43:58.0,2018-04-12 13:47:06.0,301,113,RD04_MSOMMNO,188,2710
2018-04-12 15:32:06.0,2018-04-12 15:34:22.0,2018-04-12 15:37:06.0,300,136,RD04_MSOMMNO,164,6488
2018-04-12 17:07:06.0,2018-04-12 18:48:00.0,2018-04-12 18:50:19.0,6193,6054,RD04_MSOMMNO,139,5565
2017-10-21 14:05:09.0,2017-10-21 14:08:40.0,2017-10-21 14:15:09.0,600,211,RD01_MSOMMNO,389,25210825
2018-04-12 12:26:56.0,2018-04-12 12:32:00.0,2018-04-12 12:34:16.0,440,304,RD01_MSOMMNO,136,14943648
