dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-02 12:16:59.0,2017-09-02 12:33:27.0,988,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-06 07:07:27.0,2017-09-06 07:27:27.0,1200,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-06 09:07:35.0,2017-09-06 09:27:33.0,1198,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-18 08:05:53.0,2017-09-18 08:18:52.0,779,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-23 01:11:03.0,2017-09-23 01:14:03.0,180,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-23 02:53:03.0,2017-09-23 02:56:03.0,180,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-23 05:03:03.0,2017-09-23 05:06:03.0,180,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-23 07:18:03.0,2017-09-23 07:21:03.0,180,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-23 07:36:03.0,2017-09-23 07:40:32.0,269,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-23 07:40:32.0,2017-09-23 07:44:04.0,212,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-23 08:06:03.0,2017-09-23 08:11:03.0,300,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-25 17:37:09.0,2017-09-25 17:40:09.0,180,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-28 17:35:15.0,2017-09-28 17:44:15.0,540,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-28 17:52:15.0,2017-09-28 18:08:14.0,959,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-28 18:13:15.0,2017-09-28 18:16:15.0,180,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-28 18:16:15.0,2017-09-28 18:21:15.0,300,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-01 16:25:21.0,2017-10-01 16:33:00.0,459,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-01 16:33:21.0,2017-10-01 16:40:29.0,428,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-01 16:40:29.0,2017-10-01 16:49:21.0,532,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0002],
