dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-10-01 16:27:12.0,2017-10-01 16:29:12.0,120,,4,1
2017-10-01 16:42:13.0,2017-10-01 16:43:12.0,59,,4,1
2017-10-01 16:44:12.0,2017-10-01 16:46:12.0,120,,4,1
2017-10-25 21:08:02.0,2017-10-25 21:09:02.0,60,,4,1
2017-10-25 21:12:02.0,2017-10-25 21:13:02.0,60,,4,1
2017-11-20 03:35:51.0,2017-11-20 03:36:51.0,60,,4,1
2018-01-20 08:43:53.0,2018-01-20 08:50:17.0,384,,4,1
2018-02-02 02:30:53.0,2018-02-02 02:31:53.0,60,,4,1
2018-02-08 22:39:54.0,2018-02-08 22:40:54.0,60,,4,1
2018-03-01 16:31:32.0,2018-03-01 16:32:54.0,82,,4,1
