dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-02 12:19:24.0,2017-09-02 12:35:53.0,989,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-24 04:59:30.0,2017-09-24 05:02:47.0,197,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 21:42:42.0,2017-10-01 21:47:11.0,269,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-02 06:24:47.0,2017-10-02 06:28:04.0,197,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-03 00:01:49.0,2017-10-03 00:05:50.0,241,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-03 01:20:50.0,2017-10-03 01:23:49.0,179,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-03 03:53:50.0,2017-10-03 03:56:29.0,159,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-03 04:06:49.0,2017-10-03 04:09:41.0,172,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-11 07:33:06.0,2017-10-11 07:36:06.0,180,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-26 12:29:38.0,2017-10-26 12:33:27.0,229,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-26 15:14:38.0,2017-10-26 15:19:37.0,299,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-26 15:19:38.0,2017-10-26 15:24:14.0,276,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 01:14:17.0,2017-11-14 01:18:48.0,271,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 03:12:57.0,2017-11-14 03:15:39.0,162,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 08:28:17.0,2017-11-14 08:32:17.0,240,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-15 23:42:21.0,2017-11-15 23:46:34.0,253,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 00:25:28.0,2017-11-16 00:29:20.0,232,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 02:15:20.0,2017-11-16 02:19:29.0,249,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
