dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-09-15 03:23:55.0,2017-09-15 03:24:55.0,60,,4,1
2017-09-15 03:27:56.0,2017-09-15 03:28:56.0,60,,4,1
2017-10-19 06:36:06.0,2017-10-19 06:37:06.0,60,,4,1
2017-10-26 12:30:26.0,2017-10-26 12:31:21.0,55,,4,1
2017-11-14 03:14:20.0,2017-11-14 03:15:00.0,40,,4,1
2018-01-05 02:07:48.0,2018-01-05 02:08:48.0,60,,4,1
2018-01-10 22:51:11.0,2018-01-10 22:52:11.0,60,,4,1
2018-01-11 00:36:11.0,2018-01-11 00:37:11.0,60,,4,1
2018-01-17 22:43:11.0,2018-01-17 22:44:11.0,60,,4,1
2018-01-17 22:47:17.0,2018-01-17 22:48:11.0,54,,4,1
2018-01-18 01:13:11.0,2018-01-18 01:15:11.0,120,,4,1
2018-01-18 01:30:11.0,2018-01-18 01:31:11.0,60,,4,1
2018-01-18 01:45:11.0,2018-01-18 01:46:11.0,60,,4,1
2018-01-18 02:27:18.0,2018-01-18 02:28:15.0,57,,4,1
2018-01-18 07:53:11.0,2018-01-18 07:54:11.0,60,,4,1
2018-01-18 17:45:11.0,2018-01-18 17:47:11.0,120,,4,1
2018-01-18 17:48:24.0,2018-01-18 17:50:11.0,107,,4,1
2018-01-20 04:45:11.0,2018-01-20 04:46:11.0,60,,4,1
2018-01-20 05:15:11.0,2018-01-20 05:16:11.0,60,,4,1
2018-01-20 23:12:27.0,2018-01-20 23:13:11.0,44,,4,1
2018-01-20 23:24:11.0,2018-01-20 23:25:11.0,60,,4,1
2018-01-20 23:55:11.0,2018-01-20 23:56:11.0,60,,4,1
2018-01-21 00:11:11.0,2018-01-21 00:12:11.0,60,,4,1
2018-01-23 04:42:14.0,2018-01-23 04:42:33.0,19,,4,1
2018-01-23 18:27:11.0,2018-01-23 18:31:11.0,240,,4,1
2018-02-03 03:07:11.0,2018-02-03 03:08:11.0,60,,4,1
2018-03-03 06:12:51.0,2018-03-03 06:13:50.0,59,,4,1
2018-03-04 00:31:50.0,2018-03-04 00:32:50.0,60,,4,1
2018-03-04 00:35:02.0,2018-03-04 00:35:50.0,48,,4,1
2018-03-04 01:02:07.0,2018-03-04 01:02:50.0,43,,4,1
2018-03-14 02:17:29.0,2018-03-14 02:18:19.0,50,,4,1
2018-04-09 04:02:07.0,2018-04-09 04:03:07.0,60,,4,1
