dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-02 12:18:56.0,2017-09-02 12:35:24.0,988,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-06 17:19:25.0,2017-09-06 17:34:25.0,900,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-03 01:23:37.0,2017-10-03 01:29:09.0,332,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-03 02:22:21.0,2017-10-03 02:25:40.0,199,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-03 03:41:21.0,2017-10-03 03:44:22.0,181,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-05 02:08:24.0,2017-10-05 02:11:24.0,180,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-05 03:59:24.0,2017-10-05 04:02:25.0,181,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-05 04:46:41.0,2017-10-05 04:49:25.0,164,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-19 06:29:54.0,2017-10-19 06:32:54.0,180,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 05:23:00.0,2017-10-22 05:25:32.0,152,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-26 12:29:09.0,2017-10-26 12:34:05.0,296,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-26 15:14:09.0,2017-10-26 15:16:47.0,158,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-26 15:19:38.0,2017-10-26 15:22:33.0,175,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 01:14:48.0,2017-11-14 01:19:13.0,265,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 03:12:48.0,2017-11-14 03:17:31.0,283,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 02:15:52.0,2017-11-16 02:19:52.0,240,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 18:19:54.0,2017-11-16 18:31:50.0,716,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 17:48:57.0,2017-11-20 17:51:57.0,180,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:04:57.0,2017-11-21 19:20:01.0,904,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 22:59:57.0,2017-11-22 23:15:03.0,906,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:57.0,2017-11-23 23:15:06.0,909,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 23:00:06.0,2017-11-24 23:15:07.0,901,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 21:13:02.0,2017-11-27 21:18:15.0,313,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 23:00:02.0,2017-11-27 23:15:14.0,912,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 21:59:57.0,2017-11-29 22:15:18.0,921,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:55:58.0,2017-11-30 11:22:55.0,1617,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 13:53:10.0,2017-11-30 13:56:15.0,185,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 15:10:50.0,2017-11-30 15:16:45.0,355,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 21:59:50.0,2017-11-30 22:14:38.0,888,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-01 21:59:50.0,2017-12-01 22:14:37.0,887,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-02 21:59:50.0,2017-12-02 22:14:40.0,890,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-03 21:59:50.0,2017-12-03 22:14:41.0,891,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-04 21:59:51.0,2017-12-04 22:14:52.0,901,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 00:33:50.0,2017-12-05 00:36:50.0,180,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 08:13:50.0,2017-12-05 08:26:53.0,783,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 17:47:50.0,2017-12-05 18:02:25.0,875,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 21:59:50.0,2017-12-05 22:14:52.0,902,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-06 21:59:50.0,2017-12-06 22:14:54.0,904,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 22:25:50.0,2017-12-07 22:48:28.0,1358,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 22:59:50.0,2017-12-07 23:14:59.0,909,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 19:11:50.0,2017-12-08 19:49:40.0,2270,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 22:59:50.0,2017-12-08 23:15:01.0,911,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 22:59:50.0,2017-12-09 23:15:02.0,912,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-10 22:59:51.0,2017-12-10 23:15:07.0,916,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-11 22:59:50.0,2017-12-11 23:15:00.0,910,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-12 22:59:50.0,2017-12-12 23:15:05.0,915,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-13 22:59:50.0,2017-12-13 23:15:15.0,925,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-14 22:59:50.0,2017-12-14 23:15:16.0,926,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-15 22:59:50.0,2017-12-15 23:15:07.0,917,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-16 22:59:50.0,2017-12-16 23:15:11.0,921,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-17 17:59:50.0,2017-12-17 18:03:17.0,207,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-17 18:04:35.0,2017-12-17 18:09:26.0,291,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-17 22:59:50.0,2017-12-17 23:15:14.0,924,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-18 20:23:50.0,2017-12-18 20:26:50.0,180,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-19 00:59:50.0,2017-12-19 01:15:39.0,949,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-20 00:59:50.0,2017-12-20 01:15:30.0,940,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-21 00:59:50.0,2017-12-21 01:15:31.0,941,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-22 00:59:50.0,2017-12-22 01:15:29.0,939,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
