dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2018-01-03 12:08:26.0,2018-01-03 19:32:16.0,2018-01-03 19:36:52.0,26906,26630,SW01B_MSRPNAS1,276,23253562
2018-01-03 12:08:30.0,2018-01-03 19:32:16.0,2018-01-03 19:36:05.0,26855,26626,SW01A_MSRPNAS1,229,23253560
2018-01-03 12:08:34.0,2018-01-03 19:32:19.0,2018-01-03 19:36:19.0,26865,26625,RD04_MSRPNAS1,240,14429479
2017-10-01 20:05:07.0,2017-10-01 20:06:11.0,2017-10-01 20:10:07.0,300,64,RD03_MSRPNAS1,236,15163965
2018-01-03 12:08:39.0,2018-01-03 19:32:20.0,2018-01-03 19:37:14.0,26915,26621,RD03_MSRPNAS1,294,8089534
2017-11-09 09:51:31.0,2017-11-09 09:53:49.0,2017-11-09 09:56:39.0,308,138,RD02_MSRPNAS1,170,15004059
2018-01-03 12:08:42.0,2018-01-03 19:32:19.0,2018-01-03 20:10:57.0,28935,26617,RD02_MSRPNAS1,2318,4760303
2017-10-01 19:35:14.0,2017-10-01 19:37:21.0,2017-10-01 19:40:15.0,301,127,RD01_MSRPNAS1,174,15162092
2018-01-03 12:08:46.0,2018-01-03 19:32:19.0,2018-01-03 19:36:51.0,26885,26613,RD01_MSRPNAS1,272,8091272
2018-03-31 19:53:46.0,2018-03-31 19:59:12.0,2018-03-31 20:01:21.0,455,326,RD01_MSRPNAS1,129,7520538
2018-01-03 12:08:58.0,2018-01-03 19:32:54.0,2018-01-03 19:36:03.0,26825,26636,MSRPNAS1_SWL3,189,23254370
