dh_inicio,dh_termino,ID,chamados,localidade_id
2018-03-19 19:17:30,2018-03-19 19:42:15,1251,MSRPPPR,MSRPPPR_1251
2018-03-18 11:51:13,2018-03-18 15:56:02,1245,MSOMJRD,MSOMJRD_1245
2018-02-23 10:54:00,2018-02-23 15:15:22,1166,MSRPTCU,MSRPTCU_1166
2018-02-09 10:01:00,2018-02-09 13:54:20,1128,MSRPRBR,MSRPRBR_1128
2018-02-05 17:46:00,2018-02-05 20:38:55,1106,MSRPMMA,MSRPMMA_1106
2018-01-25 11:20:00,2018-01-25 16:51:33,1042,MSRPMPX,MSRPMPX_1042
2018-01-24 12:41:00,2018-01-24 15:48:30,1034,MSRPMPX,MSRPMPX_1034
2017-10-01 17:27:30,2017-10-03 20:24:30,570,MSRPTCU,MSRPTCU_570
2017-09-29 02:36:30,2017-10-06 11:28:16,559,MSOMCGR,MSOMCGR_559
2017-09-09 07:12:00,2017-09-09 07:30:00,468,MSRPTCU,MSRPTCU_468
