dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-23 07:18:07.0,2017-09-23 07:21:43.0,216,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 07:40:06.0,2017-09-23 07:42:54.0,168,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 08:06:07.0,2017-09-23 08:09:43.0,216,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 17:35:18.0,2017-09-28 17:43:47.0,509,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 17:52:06.0,2017-09-28 18:08:06.0,960,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 18:13:18.0,2017-09-28 18:18:43.0,325,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 16:25:24.0,2017-10-01 16:32:37.0,433,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 16:35:13.0,2017-10-01 16:38:54.0,221,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 16:40:25.0,2017-10-01 16:48:41.0,496,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 17:10:25.0,2017-10-01 17:15:36.0,311,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 19:02:24.0,2017-10-01 19:13:31.0,667,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-02 05:47:25.0,2017-10-03 20:22:28.0,138903,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-04 14:50:30.0,2017-10-04 14:58:29.0,479,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 20:50:47.0,2017-10-12 20:54:48.0,241,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:01:47.0,2017-10-12 21:06:42.0,295,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:07:46.0,2017-10-12 21:20:50.0,784,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:22:03.0,2017-10-12 21:27:26.0,323,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-13 01:19:47.0,2017-10-13 01:22:29.0,162,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-13 01:25:47.0,2017-10-13 01:28:47.0,180,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-19 04:11:00.0,2017-10-19 04:15:55.0,295,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-19 04:17:00.0,2017-10-19 04:20:48.0,228,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-19 04:34:00.0,2017-10-19 04:38:35.0,275,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
