dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-10-18 14:15:45.0,2017-10-18 14:16:45.0,60,,4,1
2017-10-23 16:45:55.0,2017-10-25 17:38:59.0,175984,,4,1
2017-10-26 18:21:01.0,2017-10-26 18:26:01.0,300,,4,1
2017-10-26 18:28:01.0,2017-10-26 18:43:01.0,900,,4,1
2017-11-14 09:53:38.0,2017-11-14 11:42:39.0,6541,,4,1
2017-11-19 08:34:44.0,2017-11-28 12:02:02.0,790038,,4,1
2017-11-30 09:22:44.0,2017-11-30 09:34:44.0,720,,4,1
2017-12-04 11:33:44.0,2017-12-04 14:23:44.0,10200,,4,1
2017-12-04 14:28:43.0,2017-12-04 14:29:44.0,61,,4,1
2017-12-04 14:53:44.0,2017-12-04 14:55:44.0,120,,4,1
2017-12-05 10:49:43.0,2017-12-05 10:53:44.0,241,,4,1
2017-12-05 11:12:43.0,2017-12-05 11:14:44.0,121,,4,1
2017-12-12 12:17:43.0,2017-12-12 12:20:43.0,180,,4,1
2017-12-12 12:24:43.0,2017-12-12 12:25:43.0,60,,4,1
2017-12-20 14:05:42.0,2017-12-20 14:11:42.0,360,,4,1
