dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-23 01:23:56.0,2017-09-23 01:27:08.0,192,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 07:33:56.0,2017-09-23 07:36:56.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 08:01:56.0,2017-09-23 08:06:57.0,301,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 17:52:06.0,2017-09-28 18:07:07.0,901,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 15:29:12.0,2017-10-01 15:34:54.0,342,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 16:34:13.0,2017-10-01 17:07:13.0,1980,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 22:04:13.0,2017-10-01 22:07:14.0,181,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-02 02:24:14.0,2017-10-02 02:27:13.0,179,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-02 05:47:14.0,2017-10-03 20:57:18.0,141004,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-04 06:24:18.0,2017-10-04 06:27:18.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 02:11:32.0,2017-10-12 02:15:32.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 02:21:33.0,2017-10-12 02:25:41.0,248,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 20:50:34.0,2017-10-12 20:55:34.0,300,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:02:34.0,2017-10-12 21:15:34.0,780,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:21:34.0,2017-10-12 21:25:34.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-18 06:03:01.0,2017-10-18 06:05:44.0,163,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 05:22:52.0,2017-10-22 05:25:53.0,181,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 09:29:53.0,2017-10-22 09:55:53.0,1560,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-23 16:10:55.0,2017-10-23 16:14:55.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 16:41:07.0,2017-10-27 17:19:04.0,2277,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 17:32:03.0,2017-10-27 17:39:04.0,421,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-28 02:27:03.0,2017-10-28 13:39:05.0,40322,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-28 14:15:05.0,2017-10-28 14:19:05.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-04 12:58:18.0,2017-11-04 13:24:19.0,1561,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-08 11:51:27.0,2017-11-08 11:54:50.0,203,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-08 14:19:49.0,2017-11-08 14:24:27.0,278,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-11 23:39:34.0,2017-11-11 23:44:33.0,299,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-15 06:06:40.0,2017-11-15 06:17:39.0,659,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 18:19:42.0,2017-11-16 18:31:38.0,716,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-19 21:22:45.0,2017-11-19 21:27:45.0,300,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 00:32:46.0,2017-11-20 00:37:45.0,299,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 03:43:46.0,2017-11-20 03:47:46.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 17:48:45.0,2017-11-20 17:51:45.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 17:53:46.0,2017-11-20 18:03:47.0,601,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:04:45.0,2017-11-21 19:19:49.0,904,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 22:59:45.0,2017-11-22 23:14:51.0,906,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:45.0,2017-11-23 23:14:54.0,909,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 01:36:45.0,2017-11-24 01:43:45.0,420,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 22:59:54.0,2017-11-24 23:14:56.0,902,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-25 04:15:45.0,2017-11-25 04:23:45.0,480,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 03:30:48.0,2017-11-27 03:33:48.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 04:16:48.0,2017-11-27 04:23:47.0,419,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 22:59:50.0,2017-11-27 23:15:01.0,911,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 21:59:44.0,2017-11-29 22:15:05.0,921,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:55:45.0,2017-12-04 11:33:44.0,347879,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-04 21:59:44.0,2017-12-04 22:15:15.0,931,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 17:55:44.0,2017-12-05 18:03:44.0,480,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 21:59:44.0,2017-12-05 22:15:17.0,933,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-06 21:59:44.0,2017-12-06 22:15:20.0,936,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 22:59:43.0,2017-12-07 23:15:22.0,939,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 19:11:43.0,2017-12-08 20:13:44.0,3721,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 22:59:43.0,2017-12-08 23:15:23.0,940,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 18:42:43.0,2017-12-09 18:53:43.0,660,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 18:58:43.0,2017-12-09 19:03:43.0,300,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 19:10:44.0,2017-12-09 19:13:43.0,179,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 19:15:44.0,2017-12-09 20:13:44.0,3480,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 21:00:44.0,2017-12-09 21:03:43.0,179,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 21:07:43.0,2017-12-09 21:13:43.0,360,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 21:14:44.0,2017-12-09 21:23:44.0,540,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 22:59:44.0,2017-12-09 23:15:26.0,942,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-10 22:59:43.0,2017-12-10 23:15:28.0,945,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-11 22:59:44.0,2017-12-11 23:15:30.0,946,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-12 19:12:43.0,2017-12-12 19:15:43.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-12 22:59:43.0,2017-12-12 23:15:31.0,948,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-13 22:59:43.0,2017-12-13 23:15:34.0,951,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-14 14:59:43.0,2017-12-14 15:05:44.0,361,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-14 22:45:44.0,2017-12-14 22:55:43.0,599,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-14 22:59:43.0,2017-12-14 23:15:36.0,953,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-15 22:59:43.0,2017-12-15 23:15:37.0,954,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-16 22:59:43.0,2017-12-16 23:15:40.0,957,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-17 22:59:43.0,2017-12-17 23:15:41.0,958,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-19 00:59:43.0,2017-12-19 01:15:44.0,961,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-20 00:59:42.0,2017-12-20 01:15:46.0,964,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-20 02:39:46.0,2017-12-20 03:38:42.0,3536,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-21 00:59:42.0,2017-12-21 01:15:48.0,966,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-22 00:59:43.0,2017-12-22 01:15:50.0,967,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-22 11:47:42.0,2017-12-22 11:55:42.0,480,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-23 00:59:42.0,2017-12-23 01:15:52.0,970,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-24 00:59:42.0,2017-12-24 01:15:54.0,972,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-25 00:59:42.0,2017-12-25 01:15:56.0,974,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-26 00:59:42.0,2017-12-26 01:15:58.0,976,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-27 00:59:42.0,2017-12-27 01:16:01.0,979,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-28 00:59:42.0,2017-12-28 01:16:02.0,980,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-29 00:59:42.0,2017-12-29 01:16:05.0,983,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-30 00:59:42.0,2017-12-30 01:16:06.0,984,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-31 00:59:42.0,2017-12-31 01:16:09.0,987,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
