dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-23 01:23:27.0,2017-09-23 01:26:28.0,181,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 08:01:28.0,2017-09-23 08:06:28.0,300,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 17:51:38.0,2017-09-28 18:06:39.0,901,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 16:33:53.0,2017-10-01 17:06:45.0,1972,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-02 02:23:45.0,2017-10-02 02:26:46.0,181,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-02 05:46:46.0,2017-10-03 20:56:50.0,141004,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 02:12:05.0,2017-10-12 02:15:05.0,180,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 02:22:05.0,2017-10-12 02:25:04.0,179,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 20:51:05.0,2017-10-12 20:55:06.0,241,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:02:06.0,2017-10-12 21:15:06.0,780,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:22:06.0,2017-10-12 21:25:05.0,179,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 05:23:25.0,2017-10-22 05:26:24.0,179,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 09:30:25.0,2017-10-22 09:56:24.0,1559,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-23 16:10:27.0,2017-10-23 16:15:27.0,300,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 16:40:35.0,2017-10-27 17:18:36.0,2281,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 17:31:35.0,2017-10-27 17:38:36.0,421,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-28 02:26:35.0,2017-10-28 13:38:37.0,40322,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-28 14:14:42.0,2017-10-28 14:18:37.0,235,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-04 12:58:09.0,2017-11-04 13:24:51.0,1602,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-08 11:50:58.0,2017-11-08 11:53:59.0,181,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-08 14:19:59.0,2017-11-08 14:23:59.0,240,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0001],
