dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-12-08 19:09:22.0,2017-12-08 19:45:41.0,2017-12-08 19:49:59.0,2437,2179,SW01B_MSOMCGR,258,10205586
2017-12-08 19:09:26.0,2017-12-08 19:45:41.0,2017-12-08 19:50:33.0,2467,2175,SW01A_MSOMCGR,292,10205823
2017-12-08 19:09:31.0,2017-12-08 19:45:44.0,2017-12-08 19:49:37.0,2406,2173,RD04_MSOMCGR,233,10135106
2017-12-15 16:59:30.0,2017-12-15 17:02:53.0,2017-12-15 17:05:14.0,344,203,RD04_MSOMCGR,141,594825
2017-12-15 17:14:30.0,2017-12-15 17:20:20.0,2017-12-15 17:22:25.0,475,350,RD04_MSOMCGR,125,697
2017-12-15 18:19:31.0,2017-12-15 18:22:53.0,2017-12-15 18:29:30.0,599,202,RD04_MSOMCGR,397,3550
2017-12-15 18:29:30.0,2017-12-15 18:33:37.0,2017-12-15 18:39:31.0,601,247,RD04_MSOMCGR,354,397
2017-12-15 18:39:31.0,2017-12-15 18:43:48.0,2017-12-15 18:54:30.0,899,257,RD04_MSOMCGR,642,354
2017-12-15 18:54:30.0,2017-12-15 18:55:12.0,2017-12-15 18:59:31.0,301,42,RD04_MSOMCGR,259,642
2017-12-15 19:04:30.0,2017-12-15 19:10:52.0,2017-12-15 19:19:31.0,901,382,RD04_MSOMCGR,519,558
2017-12-15 19:29:31.0,2017-12-15 19:32:15.0,2017-12-15 19:34:31.0,300,164,RD04_MSOMCGR,136,1119
2017-12-18 19:24:30.0,2017-12-18 19:29:50.0,2017-12-18 19:34:31.0,601,320,RD04_MSOMCGR,281,258736
2017-12-18 19:34:31.0,2017-12-18 19:39:32.0,2017-12-18 19:44:31.0,600,301,RD04_MSOMCGR,299,281
2017-12-08 19:09:35.0,2017-12-08 19:45:45.0,2017-12-08 19:49:53.0,2418,2170,RD03_MSOMCGR,248,10044099
2017-12-15 16:59:34.0,2017-12-15 17:03:17.0,2017-12-15 17:09:34.0,600,223,RD03_MSOMCGR,377,594829
2017-12-15 17:14:35.0,2017-12-15 17:23:05.0,2017-12-15 17:29:35.0,900,510,RD03_MSOMCGR,390,677
2017-12-15 19:19:34.0,2017-12-15 19:28:46.0,2017-12-15 19:39:34.0,1200,552,RD03_MSOMCGR,648,6989
2017-12-15 19:39:34.0,2017-12-15 20:00:11.0,2017-12-15 20:09:34.0,1800,1237,RD03_MSOMCGR,563,648
2017-12-18 17:24:35.0,2017-12-18 17:25:20.0,2017-12-18 17:29:34.0,299,45,RD03_MSOMCGR,254,249863
2017-12-18 19:09:35.0,2017-12-18 19:18:58.0,2017-12-18 19:29:35.0,1200,563,RD03_MSOMCGR,637,6254
2017-12-18 19:29:35.0,2017-12-18 19:37:22.0,2017-12-18 19:44:35.0,900,467,RD03_MSOMCGR,433,637
2017-12-08 19:09:38.0,2017-12-08 19:45:45.0,2017-12-08 19:50:08.0,2430,2167,RD02_MSOMCGR,263,26542647
2017-12-08 19:09:43.0,2017-12-08 19:45:45.0,2017-12-08 19:54:42.0,2699,2162,RD01_MSOMCGR,537,26543330
2017-12-08 19:09:46.0,2017-12-08 19:46:20.0,2017-12-08 19:49:49.0,2403,2194,MSOMCGR_SWL3,209,10206189
