dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-21 05:45:09.0,2017-09-21 05:48:09.0,180,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-02 05:46:32.0,2017-10-02 05:49:57.0,205,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-04 14:50:36.0,2017-10-04 14:58:36.0,480,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 09:28:14.0,2017-10-22 09:56:13.0,1679,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 20:15:25.0,2017-10-27 20:18:25.0,180,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 23:43:25.0,2017-10-27 23:49:25.0,360,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-28 01:15:25.0,2017-10-28 01:18:25.0,180,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-13 22:34:01.0,2017-11-13 22:37:00.0,179,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 18:20:06.0,2017-11-16 18:32:03.0,717,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 17:48:10.0,2017-11-20 17:51:10.0,180,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 17:53:10.0,2017-11-20 18:03:11.0,601,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:04:10.0,2017-11-21 19:19:13.0,903,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 23:00:10.0,2017-11-22 23:15:16.0,906,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:10.0,2017-11-23 23:14:18.0,908,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 23:00:12.0,2017-11-24 23:15:21.0,909,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 23:00:16.0,2017-11-27 23:15:27.0,911,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 22:00:10.0,2017-11-29 22:15:31.0,921,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:56:10.0,2017-12-04 12:14:10.0,350280,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-04 22:00:10.0,2017-12-04 22:15:42.0,932,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 17:53:10.0,2017-12-05 18:04:10.0,660,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 22:00:10.0,2017-12-05 22:15:44.0,934,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-06 22:00:11.0,2017-12-06 22:15:46.0,935,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 23:00:10.0,2017-12-07 23:15:48.0,938,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 19:11:10.0,2017-12-08 20:14:10.0,3780,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 23:00:11.0,2017-12-08 23:15:51.0,940,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 23:00:10.0,2017-12-09 23:15:53.0,943,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
