dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-18 08:06:03.0,2017-09-18 08:19:10.0,787,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 07:17:54.0,2017-09-23 07:21:27.0,213,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 07:39:55.0,2017-09-23 07:42:49.0,174,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 08:05:55.0,2017-09-23 08:10:10.0,255,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-24 14:53:57.0,2017-09-24 15:10:48.0,1011,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-27 10:56:04.0,2017-09-27 13:42:04.0,9960,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 17:35:06.0,2017-09-28 17:43:22.0,496,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 17:52:07.0,2017-09-28 18:08:06.0,959,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 18:13:06.0,2017-09-28 18:19:50.0,404,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 16:25:20.0,2017-10-01 16:32:03.0,403,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 16:40:12.0,2017-10-01 16:46:31.0,379,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 17:10:12.0,2017-10-01 17:15:11.0,299,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 17:24:12.0,2017-10-03 20:21:41.0,183449,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-04 14:50:18.0,2017-10-04 14:59:18.0,540,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-08 07:37:25.0,2017-10-08 07:40:20.0,175,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 01:22:33.0,2017-10-12 01:25:33.0,180,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 01:56:34.0,2017-10-12 02:01:18.0,284,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 02:08:33.0,2017-10-12 02:11:08.0,155,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 02:17:33.0,2017-10-12 02:20:54.0,201,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 02:42:33.0,2017-10-12 02:46:46.0,253,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 20:50:36.0,2017-10-12 20:54:46.0,250,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:02:43.0,2017-10-12 21:05:46.0,183,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:07:35.0,2017-10-12 21:20:22.0,767,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:22:58.0,2017-10-12 21:28:35.0,337,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-13 01:13:35.0,2017-10-13 01:16:41.0,186,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-13 01:19:35.0,2017-10-13 01:22:35.0,180,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-13 06:29:44.0,2017-10-13 06:32:15.0,151,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-19 04:11:07.0,2017-10-19 04:13:48.0,161,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-19 04:16:56.0,2017-10-19 04:21:48.0,292,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-19 04:34:48.0,2017-10-19 04:38:04.0,196,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-20 04:04:51.0,2017-10-20 10:27:17.0,22946,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-21 22:14:54.0,2017-10-21 22:39:08.0,1454,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 09:27:54.0,2017-10-22 09:55:54.0,1680,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-25 16:59:02.0,2017-10-25 17:03:02.0,240,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-25 17:03:02.0,2017-10-25 17:06:59.0,237,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
