dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-10-16 08:16:59.0,2017-10-16 08:20:13.0,194,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-16 09:46:58.0,2017-10-16 09:51:43.0,285,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-19 16:19:58.0,2017-10-19 16:23:33.0,215,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-22 05:40:18.0,2017-10-22 05:47:31.0,433,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-22 08:19:58.0,2017-10-22 08:23:13.0,195,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-22 08:56:58.0,2017-10-22 09:55:11.0,3493,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-22 17:53:58.0,2017-10-22 17:57:23.0,205,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-24 12:48:58.0,2017-10-24 12:52:58.0,240,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 17:55:58.0,2017-10-27 17:59:49.0,231,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 19:51:58.0,2017-10-27 19:55:49.0,231,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 19:56:59.0,2017-10-27 20:07:43.0,644,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 20:39:58.0,2017-10-27 20:49:58.0,600,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-30 08:54:58.0,2017-10-30 09:49:26.0,3268,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-30 16:24:26.0,2017-10-30 16:28:16.0,230,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-30 17:03:26.0,2017-10-30 17:08:11.0,285,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-04 15:18:36.0,2017-11-04 15:24:51.0,375,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-05 07:40:38.0,2017-11-05 07:44:36.0,238,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-05 18:24:39.0,2017-11-05 18:29:22.0,283,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-05 18:39:39.0,2017-11-05 18:43:39.0,240,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-05 19:34:39.0,2017-11-05 19:37:50.0,191,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-05 19:43:39.0,2017-11-05 19:46:50.0,191,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-08 09:08:44.0,2017-11-08 09:12:43.0,239,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-08 11:34:45.0,2017-11-08 11:38:26.0,221,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-12 19:40:54.0,2017-11-12 19:44:35.0,221,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-13 15:19:56.0,2017-11-13 15:23:37.0,221,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-14 01:14:56.0,2017-11-14 01:19:13.0,257,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-14 08:27:56.0,2017-11-14 08:30:36.0,160,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-15 23:43:00.0,2017-11-15 23:46:00.0,180,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 00:25:00.0,2017-11-16 00:29:01.0,241,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 02:16:01.0,2017-11-16 02:20:01.0,240,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 02:22:08.0,2017-11-16 02:25:28.0,200,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 03:05:01.0,2017-11-16 03:07:53.0,172,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 03:15:00.0,2017-11-16 03:18:26.0,206,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 03:22:01.0,2017-11-16 03:25:18.0,197,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 04:48:09.0,2017-11-16 04:50:43.0,154,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 05:49:00.0,2017-11-16 05:51:39.0,159,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 18:20:02.0,2017-11-16 18:31:58.0,716,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 22:46:58.0,2017-11-16 22:50:48.0,230,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-18 10:08:02.0,2017-11-18 10:11:51.0,229,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-18 17:30:02.0,2017-11-18 17:33:45.0,223,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-18 23:01:03.0,2017-11-18 23:04:52.0,229,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-20 17:48:05.0,2017-11-20 17:51:05.0,180,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-20 17:53:05.0,2017-11-20 18:03:06.0,601,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-21 00:01:05.0,2017-11-21 00:05:06.0,241,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-21 00:07:05.0,2017-11-21 00:10:21.0,196,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
