dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-09-29 18:02:58.0,2017-09-29 18:05:59.0,2017-09-29 18:08:16.0,318,181,MSOMNOQ_SWL3,137,1304225
2017-10-01 16:17:58.0,2017-10-01 16:18:22.0,2017-10-01 16:23:58.0,360,24,MSOMNOQ_SWL3,336,166324
2017-10-01 17:05:58.0,2017-10-01 17:09:31.0,2017-10-01 17:12:20.0,382,213,MSOMNOQ_SWL3,169,2856
2017-10-01 19:02:58.0,2017-10-01 19:04:39.0,2017-10-01 19:08:59.0,361,101,MSOMNOQ_SWL3,260,6807
2017-10-01 19:17:58.0,2017-10-01 19:19:56.0,2017-10-01 19:23:58.0,360,118,MSOMNOQ_SWL3,242,800
2017-10-01 19:23:58.0,2017-10-01 19:27:14.0,2017-10-01 19:29:59.0,361,196,MSOMNOQ_SWL3,165,242
2017-10-01 20:41:58.0,2017-10-01 20:46:08.0,2017-10-01 20:50:58.0,540,250,MSOMNOQ_SWL3,290,4484
2017-10-01 21:50:58.0,2017-10-01 21:52:41.0,2017-10-01 21:56:59.0,361,103,MSOMNOQ_SWL3,258,3890
2017-10-01 21:56:59.0,2017-10-01 22:00:09.0,2017-10-01 22:03:20.0,381,190,MSOMNOQ_SWL3,191,258
2017-10-01 22:03:20.0,2017-10-01 22:05:55.0,2017-10-01 22:08:16.0,296,155,MSOMNOQ_SWL3,141,191
2017-10-02 00:44:58.0,2017-10-02 00:47:24.0,2017-10-02 00:50:16.0,318,146,MSOMNOQ_SWL3,172,9544
2017-10-02 02:08:58.0,2017-10-02 02:11:29.0,2017-10-02 02:14:12.0,314,151,MSOMNOQ_SWL3,163,4894
2017-10-07 17:14:58.0,2017-10-07 17:16:42.0,2017-10-07 17:20:58.0,360,104,MSOMNOQ_SWL3,256,486223
2017-10-07 18:14:58.0,2017-10-07 18:18:16.0,2017-10-07 18:20:43.0,345,198,MSOMNOQ_SWL3,147,3496
2017-10-07 18:20:58.0,2017-10-07 18:27:43.0,2017-10-07 19:24:58.0,3840,405,MSOMNOQ_SWL3,3435,163
2017-10-09 07:38:58.0,2017-10-09 07:40:04.0,2017-10-09 07:44:58.0,360,66,MSOMNOQ_SWL3,294,133878
2017-10-16 08:14:58.0,2017-10-16 08:17:37.0,2017-10-16 08:20:13.0,315,159,MSOMNOQ_SWL3,156,603310
2017-10-16 09:44:58.0,2017-10-16 09:48:32.0,2017-10-16 09:51:43.0,405,214,MSOMNOQ_SWL3,191,5241
2017-10-19 16:17:58.0,2017-10-19 16:20:48.0,2017-10-19 16:23:33.0,335,170,MSOMNOQ_SWL3,165,282574
2017-10-22 08:17:58.0,2017-10-22 08:20:53.0,2017-10-22 08:23:13.0,315,175,MSOMNOQ_SWL3,140,230237
2017-10-22 17:53:58.0,2017-10-22 17:54:37.0,2017-10-22 17:59:58.0,360,39,MSOMNOQ_SWL3,321,34385
2017-10-24 12:47:58.0,2017-10-24 12:50:09.0,2017-10-24 12:53:58.0,360,131,MSOMNOQ_SWL3,229,154406
