dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-18 08:06:05.0,2017-09-18 08:19:02.0,777,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-23 07:18:16.0,2017-09-23 07:20:50.0,154,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-23 07:38:16.0,2017-09-23 07:41:36.0,200,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-23 08:06:15.0,2017-09-23 08:08:47.0,152,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-28 17:35:27.0,2017-09-28 17:44:26.0,539,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-28 17:52:03.0,2017-09-28 18:08:10.0,967,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-28 18:13:27.0,2017-09-28 18:16:09.0,162,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-01 17:10:33.0,2017-10-01 17:14:57.0,264,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-02 05:46:35.0,2017-10-03 20:21:38.0,138903,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-04 14:50:38.0,2017-10-04 14:59:38.0,540,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-11 06:13:52.0,2017-10-11 06:20:52.0,420,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-12 20:50:56.0,2017-10-12 20:58:57.0,481,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-12 21:01:55.0,2017-10-12 21:06:42.0,287,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-12 21:08:03.0,2017-10-12 21:20:39.0,756,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-12 21:20:55.0,2017-10-12 21:26:42.0,347,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-19 03:33:09.0,2017-10-19 03:36:08.0,179,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-19 04:18:27.0,2017-10-19 04:21:09.0,162,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-19 04:37:09.0,2017-10-19 04:39:39.0,150,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-19 08:05:09.0,2017-10-19 08:07:48.0,159,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-22 09:28:16.0,2017-10-22 09:56:16.0,1680,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 16:52:34.0,2017-10-27 17:22:30.0,1796,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 17:22:30.0,2017-10-27 17:25:51.0,201,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 17:31:27.0,2017-10-27 17:43:09.0,702,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 18:58:26.0,2017-10-27 19:02:06.0,220,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 20:15:27.0,2017-10-27 20:18:27.0,180,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 23:43:27.0,2017-10-27 23:49:27.0,360,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-28 01:15:28.0,2017-10-28 01:18:28.0,180,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-28 02:26:27.0,2017-10-28 13:38:15.0,40308,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-13 22:34:03.0,2017-11-13 22:37:03.0,180,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 18:20:09.0,2017-11-16 18:32:05.0,716,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 00:31:12.0,2017-11-20 00:33:49.0,157,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 00:33:49.0,2017-11-20 00:36:39.0,170,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 17:48:12.0,2017-11-20 17:51:12.0,180,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 17:53:12.0,2017-11-20 18:03:13.0,601,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 19:04:12.0,2017-11-21 19:19:16.0,904,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-22 22:59:12.0,2017-11-22 23:14:18.0,906,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-23 22:59:12.0,2017-11-23 23:14:20.0,908,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-24 23:00:18.0,2017-11-24 23:15:22.0,904,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-27 23:00:17.0,2017-11-27 23:15:29.0,912,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-29 22:00:12.0,2017-11-29 22:15:33.0,921,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:56:12.0,2017-12-04 12:14:12.0,350280,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-04 22:00:13.0,2017-12-04 22:15:44.0,931,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-05 17:54:12.0,2017-12-05 18:04:12.0,600,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-05 22:00:12.0,2017-12-05 22:15:46.0,934,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-06 22:00:12.0,2017-12-06 22:15:48.0,936,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-07 23:00:12.0,2017-12-07 23:15:50.0,938,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-08 19:11:12.0,2017-12-08 20:14:13.0,3781,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-08 23:00:12.0,2017-12-08 23:15:53.0,941,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 09:05:13.0,2017-12-09 09:07:52.0,159,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 18:45:13.0,2017-12-09 18:49:17.0,244,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 18:49:17.0,2017-12-09 18:56:12.0,415,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 18:58:12.0,2017-12-09 19:04:04.0,352,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 19:07:12.0,2017-12-09 19:20:12.0,780,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 19:23:13.0,2017-12-09 19:29:02.0,349,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 19:29:12.0,2017-12-09 19:34:58.0,346,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 19:35:12.0,2017-12-09 20:07:41.0,1949,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 20:08:13.0,2017-12-09 20:18:15.0,602,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 20:55:13.0,2017-12-09 20:58:51.0,218,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 21:01:12.0,2017-12-09 21:05:40.0,268,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 21:08:12.0,2017-12-09 21:13:51.0,339,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 21:15:53.0,2017-12-09 21:20:11.0,258,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 21:20:13.0,2017-12-09 21:26:56.0,403,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 22:59:13.0,2017-12-09 23:14:54.0,941,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-10 23:00:12.0,2017-12-10 23:15:57.0,945,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-11 22:59:13.0,2017-12-11 23:14:59.0,946,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-12 19:13:13.0,2017-12-12 19:16:13.0,180,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-12 22:59:12.0,2017-12-12 23:05:12.0,360,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-12 23:05:12.0,2017-12-12 23:15:01.0,589,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-13 23:00:12.0,2017-12-13 23:16:03.0,951,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-14 14:59:13.0,2017-12-14 15:06:12.0,419,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-14 18:23:13.0,2017-12-14 18:26:13.0,180,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-14 22:03:13.0,2017-12-14 22:06:13.0,180,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-14 22:46:12.0,2017-12-14 22:56:13.0,601,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-14 23:00:13.0,2017-12-14 23:16:06.0,953,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-15 22:59:13.0,2017-12-15 23:15:07.0,954,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-16 22:59:13.0,2017-12-16 23:15:09.0,956,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-17 22:59:12.0,2017-12-17 23:15:12.0,960,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-18 05:45:13.0,2017-12-18 05:50:13.0,300,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-18 06:32:13.0,2017-12-18 06:35:24.0,191,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-18 06:56:13.0,2017-12-18 06:59:55.0,222,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-19 01:00:13.0,2017-12-19 01:16:14.0,961,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-20 01:00:12.0,2017-12-20 01:16:16.0,964,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-20 02:39:17.0,2017-12-20 03:39:13.0,3596,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-21 01:00:12.0,2017-12-21 01:16:19.0,967,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-21 05:44:13.0,2017-12-21 05:47:13.0,180,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-22 00:59:13.0,2017-12-22 01:15:21.0,968,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-22 11:48:13.0,2017-12-22 11:56:13.0,480,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-23 01:00:14.0,2017-12-23 01:16:23.0,969,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-24 00:59:13.0,2017-12-24 01:15:25.0,972,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-25 00:59:13.0,2017-12-25 01:15:27.0,974,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-26 01:00:13.0,2017-12-26 01:16:30.0,977,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-27 01:00:13.0,2017-12-27 01:16:32.0,979,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-28 00:59:13.0,2017-12-28 01:15:33.0,980,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-29 01:00:13.0,2017-12-29 01:16:36.0,983,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-30 01:00:14.0,2017-12-30 01:16:38.0,984,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-31 01:00:13.0,2017-12-31 01:16:40.0,987,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
