dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-10-20 04:03:51.0,2017-10-20 10:25:19.0,2017-10-20 10:27:24.0,23013,22888,MSRPAMB_SWL3,125,7306071
2017-11-24 22:58:53.0,2017-11-25 12:24:03.0,2017-11-25 13:14:29.0,51336,48310,MSRPAMB_SWL3,3026,3069462
2017-10-20 04:02:39.0,2017-10-20 10:24:43.0,2017-10-20 10:27:29.0,23090,22924,SW01A_MSRPAMB,166,7305597
2017-11-24 22:55:36.0,2017-11-25 12:23:29.0,2017-11-25 14:18:01.0,55345,48473,SW01A_MSRPAMB,6872,3069239
2017-10-20 04:02:43.0,2017-10-20 10:24:43.0,2017-10-20 10:27:37.0,23094,22920,SW01B_MSRPAMB,174,7305593
2017-11-24 22:55:39.0,2017-11-25 12:23:29.0,2017-11-25 13:29:39.0,52440,48470,SW01B_MSRPAMB,3970,3069243
2017-10-20 04:02:47.0,2017-10-20 10:24:43.0,2017-10-20 10:27:29.0,23082,22916,SW02A_MSRPAMB,166,7305619
2017-11-24 22:55:44.0,2017-11-25 12:23:28.0,2017-11-25 14:19:59.0,55455,48464,SW02A_MSRPAMB,6991,3069247
2017-10-20 04:03:48.0,2017-10-20 10:24:46.0,2017-10-20 10:28:48.0,23100,22858,RD01_MSRPAMB,242,6624964
2017-11-24 22:56:45.0,2017-11-25 13:34:44.0,2017-11-25 14:21:45.0,55500,52679,RD01_MSRPAMB,2821,3069303
2017-11-28 16:56:03.0,2017-11-28 16:59:20.0,2017-11-28 17:01:02.0,299,197,RD01_MSRPAMB,102,270420
2017-11-28 17:01:02.0,2017-11-28 17:05:02.0,2017-11-28 17:11:03.0,601,240,RD01_MSRPAMB,361,102
2017-11-28 17:21:02.0,2017-11-28 17:23:48.0,2017-11-28 17:26:02.0,300,166,RD01_MSRPAMB,134,960
2017-10-20 04:03:52.0,2017-10-20 10:24:46.0,2017-10-20 10:27:36.0,23024,22854,RD02_MSRPAMB,170,6618574
2017-11-24 22:56:57.0,2017-11-25 12:23:32.0,2017-11-25 14:18:00.0,55263,48395,RD02_MSRPAMB,6868,3069239
2017-10-20 04:03:56.0,2017-10-20 10:24:46.0,2017-10-20 10:27:38.0,23022,22850,RD03_MSRPAMB,172,7305863
2017-11-24 22:56:52.0,2017-11-25 13:07:16.0,2017-11-25 14:18:31.0,55299,51024,RD03_MSRPAMB,4275,3069311
2017-10-20 04:04:00.0,2017-10-20 10:24:47.0,2017-10-20 10:27:40.0,23020,22847,RD04_MSRPAMB,173,7305671
2017-11-13 17:14:48.0,2017-11-13 17:17:47.0,2017-11-13 17:19:48.0,300,179,RD04_MSRPAMB,121,2098113
2017-11-24 22:56:57.0,2017-11-25 14:16:36.0,2017-11-25 14:19:43.0,55366,55179,RD04_MSRPAMB,187,970935
2017-10-20 04:03:54.0,2017-10-20 10:24:46.0,2017-10-20 10:28:09.0,23055,22852,RD05_MSRPAMB,203,7305869
2017-11-13 17:09:45.0,2017-11-13 17:12:41.0,2017-11-13 17:19:46.0,601,176,RD05_MSRPAMB,425,2097899
2017-11-24 22:56:56.0,2017-11-25 12:23:32.0,2017-11-25 13:15:00.0,51484,48396,RD05_MSRPAMB,3088,971240
2017-10-20 04:03:58.0,2017-10-20 10:24:47.0,2017-10-20 10:28:06.0,23048,22849,RD06_MSRPAMB,199,7305865
2017-11-24 22:57:07.0,2017-11-25 12:23:32.0,2017-11-25 13:26:07.0,52140,48385,RD06_MSRPAMB,3755,3069326
