dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-23 07:17:54.0,2017-09-23 07:21:21.0,207,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-09-23 07:39:54.0,2017-09-23 07:42:45.0,171,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-09-23 08:05:55.0,2017-09-23 08:10:40.0,285,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-09-28 17:35:06.0,2017-09-28 17:43:30.0,504,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-09-28 17:52:07.0,2017-09-28 18:09:06.0,1019,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-09-28 18:13:06.0,2017-09-28 18:16:38.0,212,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-01 17:10:12.0,2017-10-01 17:15:10.0,298,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-02 05:47:13.0,2017-10-03 20:22:17.0,138904,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-11 06:13:32.0,2017-10-11 06:23:31.0,599,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-12 20:50:35.0,2017-10-12 20:54:43.0,248,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-12 20:54:43.0,2017-10-12 20:59:24.0,281,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-12 21:02:35.0,2017-10-12 21:05:45.0,190,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-12 21:07:34.0,2017-10-12 21:20:11.0,757,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-12 21:20:34.0,2017-10-12 21:27:07.0,393,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-13 01:19:35.0,2017-10-13 01:23:35.0,240,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-19 04:10:59.0,2017-10-19 04:13:48.0,169,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-19 04:16:47.0,2017-10-19 04:22:47.0,360,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-19 04:34:48.0,2017-10-19 04:38:04.0,196,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-19 08:04:56.0,2017-10-19 08:08:05.0,189,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-22 09:28:54.0,2017-10-22 09:55:54.0,1620,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-24 12:49:59.0,2017-10-24 12:53:52.0,233,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 16:53:06.0,2017-10-27 17:22:36.0,1770,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 17:22:36.0,2017-10-27 17:27:13.0,277,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 17:31:06.0,2017-10-27 17:43:56.0,770,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 18:58:05.0,2017-10-27 19:01:26.0,201,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 20:15:06.0,2017-10-27 20:18:06.0,180,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 23:43:07.0,2017-10-27 23:48:06.0,299,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-28 01:15:06.0,2017-10-28 01:18:06.0,180,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-28 02:27:07.0,2017-10-28 13:38:20.0,40273,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-28 14:13:17.0,2017-10-28 14:16:07.0,170,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-28 14:31:08.0,2017-10-28 14:34:17.0,189,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-28 15:00:14.0,2017-10-28 15:04:08.0,234,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-28 17:14:16.0,2017-10-28 17:17:08.0,172,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 18:19:48.0,2017-11-16 18:31:44.0,716,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-20 00:31:51.0,2017-11-20 00:38:51.0,420,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-20 17:48:51.0,2017-11-20 17:51:51.0,180,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-20 17:52:51.0,2017-11-20 18:03:53.0,662,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-21 19:04:51.0,2017-11-21 19:19:54.0,903,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-22 22:59:51.0,2017-11-22 23:14:58.0,907,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-23 22:59:51.0,2017-11-23 23:14:59.0,908,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-24 00:35:00.0,2017-11-24 00:38:00.0,180,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0003],
