dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-23 05:02:59.0,2017-09-23 05:05:33.0,154,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-23 07:17:59.0,2017-09-23 07:21:41.0,222,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-23 07:39:59.0,2017-09-23 07:43:13.0,194,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-23 08:05:59.0,2017-09-23 08:09:41.0,222,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-28 17:35:10.0,2017-09-28 17:39:25.0,255,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-28 17:39:25.0,2017-09-28 17:44:10.0,285,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-28 17:52:10.0,2017-09-28 18:10:10.0,1080,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-28 18:13:10.0,2017-09-28 18:18:42.0,332,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-01 16:25:17.0,2017-10-01 16:32:14.0,417,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-01 16:40:17.0,2017-10-01 16:46:54.0,397,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-01 17:10:17.0,2017-10-01 17:14:58.0,281,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-02 05:47:18.0,2017-10-03 20:21:05.0,138827,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-04 14:50:22.0,2017-10-04 14:59:22.0,540,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-11 06:13:36.0,2017-10-11 06:20:36.0,420,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-12 01:22:37.0,2017-10-12 01:25:37.0,180,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-12 02:42:37.0,2017-10-12 02:45:46.0,189,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-12 20:50:39.0,2017-10-12 20:54:48.0,249,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-12 21:02:39.0,2017-10-12 21:06:02.0,203,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-12 21:07:39.0,2017-10-12 21:20:39.0,780,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-12 21:21:59.0,2017-10-12 21:27:55.0,356,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-19 04:11:01.0,2017-10-19 04:13:52.0,171,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-19 04:16:52.0,2017-10-19 04:21:22.0,270,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-19 04:34:52.0,2017-10-19 04:37:52.0,180,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-22 09:27:58.0,2017-10-22 09:55:58.0,1680,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-25 21:07:06.0,2017-10-25 21:11:07.0,241,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 16:53:10.0,2017-10-27 17:27:10.0,2040,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 17:32:10.0,2017-10-27 17:44:10.0,720,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 18:58:10.0,2017-10-27 19:01:28.0,198,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 20:15:10.0,2017-10-27 20:18:10.0,180,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 23:43:10.0,2017-10-27 23:48:11.0,301,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-28 01:15:11.0,2017-10-28 01:18:11.0,180,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-28 02:27:11.0,2017-10-28 13:39:15.0,40324,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 18:19:51.0,2017-11-16 18:31:48.0,717,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 00:32:03.0,2017-11-20 00:36:55.0,292,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 17:48:55.0,2017-11-20 17:51:55.0,180,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 17:52:55.0,2017-11-20 18:03:56.0,661,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 19:04:55.0,2017-11-21 19:19:59.0,904,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-22 22:59:55.0,2017-11-22 23:15:02.0,907,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-23 06:57:55.0,2017-11-23 07:01:13.0,198,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-23 22:59:55.0,2017-11-23 23:15:04.0,909,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-24 00:34:56.0,2017-11-24 00:38:06.0,190,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-24 22:59:57.0,2017-11-24 23:15:06.0,909,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-27 23:00:00.0,2017-11-27 23:15:12.0,912,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-28 06:29:00.0,2017-11-28 06:33:13.0,253,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-28 06:38:15.0,2017-11-28 06:40:49.0,154,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-28 07:04:17.0,2017-11-28 07:07:11.0,174,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-28 07:32:12.0,2017-11-28 07:35:13.0,181,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-29 21:59:55.0,2017-11-29 22:15:17.0,922,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:55:56.0,2017-12-04 12:13:55.0,350279,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-04 21:59:55.0,2017-12-04 22:15:27.0,932,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-05 17:53:56.0,2017-12-05 18:03:56.0,600,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-05 21:59:56.0,2017-12-05 22:15:29.0,933,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-06 21:59:56.0,2017-12-06 22:15:32.0,936,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-07 22:59:55.0,2017-12-07 23:15:34.0,939,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-08 19:10:56.0,2017-12-08 20:13:56.0,3780,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-08 22:59:56.0,2017-12-08 23:15:36.0,940,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 09:04:55.0,2017-12-09 09:07:44.0,169,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 18:45:09.0,2017-12-09 18:49:22.0,253,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 18:49:22.0,2017-12-09 18:55:52.0,390,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 18:58:55.0,2017-12-09 19:04:20.0,325,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 19:06:55.0,2017-12-09 19:11:08.0,253,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 19:11:08.0,2017-12-09 19:20:32.0,564,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 19:23:56.0,2017-12-09 20:08:23.0,2667,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 20:08:23.0,2017-12-09 20:18:59.0,636,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 21:00:56.0,2017-12-09 21:05:54.0,298,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 21:08:12.0,2017-12-09 21:13:50.0,338,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 21:13:55.0,2017-12-09 21:17:04.0,189,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 21:17:04.0,2017-12-09 21:25:47.0,523,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 22:59:56.0,2017-12-09 23:15:38.0,942,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-10 22:59:55.0,2017-12-10 23:15:40.0,945,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-11 22:59:56.0,2017-12-11 23:15:42.0,946,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-12 19:12:55.0,2017-12-12 19:15:55.0,180,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-12 22:59:56.0,2017-12-12 23:15:44.0,948,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-13 22:59:56.0,2017-12-13 23:15:47.0,951,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-14 14:59:56.0,2017-12-14 15:05:56.0,360,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-14 22:46:56.0,2017-12-14 22:55:56.0,540,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-14 22:59:56.0,2017-12-14 23:15:49.0,953,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-15 22:59:56.0,2017-12-15 23:15:51.0,955,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-16 22:59:56.0,2017-12-16 23:15:53.0,957,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-17 22:59:56.0,2017-12-17 23:15:55.0,959,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-18 05:46:04.0,2017-12-18 05:48:56.0,172,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-19 00:59:56.0,2017-12-19 01:15:58.0,962,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-20 00:59:56.0,2017-12-20 01:15:59.0,963,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-20 02:39:59.0,2017-12-20 03:38:56.0,3537,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0002],
