dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-23 01:23:59.0,2017-09-23 01:27:08.0,189,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 07:34:01.0,2017-09-23 07:37:00.0,179,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 08:02:00.0,2017-09-23 08:07:00.0,300,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 17:52:11.0,2017-09-28 18:07:11.0,900,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 16:34:17.0,2017-10-01 17:07:17.0,1980,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-02 02:24:17.0,2017-10-02 02:27:18.0,181,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-02 05:47:18.0,2017-10-03 20:56:21.0,140943,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 02:11:36.0,2017-10-12 02:15:37.0,241,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 02:21:36.0,2017-10-12 02:25:41.0,245,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 20:50:38.0,2017-10-12 20:55:37.0,299,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:02:38.0,2017-10-12 21:15:38.0,780,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:21:38.0,2017-10-12 21:25:38.0,240,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-18 06:03:12.0,2017-10-18 06:05:49.0,157,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 05:22:57.0,2017-10-22 05:25:56.0,179,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 09:29:56.0,2017-10-22 09:55:56.0,1560,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-23 16:10:59.0,2017-10-23 16:14:59.0,240,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 16:41:07.0,2017-10-27 17:19:07.0,2280,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 17:32:07.0,2017-10-27 17:39:07.0,420,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-28 02:27:08.0,2017-10-28 13:39:08.0,40320,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-28 14:15:08.0,2017-10-28 14:19:09.0,241,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-04 12:57:44.0,2017-11-04 13:24:23.0,1599,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-08 10:01:30.0,2017-11-08 10:04:30.0,180,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-08 11:51:31.0,2017-11-08 11:54:58.0,207,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-08 14:19:49.0,2017-11-08 14:24:31.0,282,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-11 23:39:38.0,2017-11-11 23:44:37.0,299,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-15 06:06:43.0,2017-11-15 06:17:44.0,661,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 18:19:46.0,2017-11-16 18:31:43.0,717,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-19 21:22:49.0,2017-11-19 21:27:49.0,300,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 00:32:12.0,2017-11-20 00:37:49.0,337,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 03:43:56.0,2017-11-20 03:47:49.0,233,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 17:48:49.0,2017-11-20 17:51:49.0,180,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 17:53:49.0,2017-11-20 18:03:51.0,602,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:04:49.0,2017-11-21 19:19:53.0,904,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 22:59:49.0,2017-11-22 23:14:55.0,906,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:49.0,2017-11-23 23:14:57.0,908,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 01:36:49.0,2017-11-24 01:43:49.0,420,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 17:21:49.0,2017-11-24 17:24:21.0,152,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 22:59:58.0,2017-11-24 23:14:59.0,901,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-25 04:15:49.0,2017-11-25 04:23:49.0,480,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 03:30:52.0,2017-11-27 03:33:51.0,179,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 04:16:52.0,2017-11-27 04:23:52.0,420,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 22:59:53.0,2017-11-27 23:15:05.0,912,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 21:59:48.0,2017-11-29 22:15:09.0,921,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:55:48.0,2017-12-04 11:33:47.0,347879,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-04 21:59:48.0,2017-12-04 22:15:19.0,931,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 17:55:48.0,2017-12-05 18:03:48.0,480,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 21:59:48.0,2017-12-05 22:15:22.0,934,MSRPATJ_SWL3,ifOperStatus[Trunk Port ID 0001],
