dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-10-22 08:57:48.0,2017-10-22 09:54:21.0,3393,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-30 08:54:48.0,2017-10-30 09:49:15.0,3267,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-13 22:33:46.0,2017-11-13 22:36:46.0,180,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-14 01:14:46.0,2017-11-14 01:19:13.0,267,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-14 03:12:46.0,2017-11-14 03:17:38.0,292,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-14 08:27:58.0,2017-11-14 08:31:35.0,217,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-15 23:42:50.0,2017-11-15 23:47:50.0,300,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 00:24:51.0,2017-11-16 00:28:17.0,206,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 02:05:51.0,2017-11-16 02:08:44.0,173,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 02:15:51.0,2017-11-16 02:19:51.0,240,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 02:20:51.0,2017-11-16 02:25:19.0,268,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 18:19:52.0,2017-11-16 18:31:48.0,716,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 17:48:55.0,2017-11-20 17:51:56.0,181,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 17:52:55.0,2017-11-20 18:03:56.0,661,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 00:00:55.0,2017-11-21 00:04:19.0,204,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 00:06:56.0,2017-11-21 00:10:55.0,239,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 00:29:55.0,2017-11-21 00:33:03.0,188,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 19:04:55.0,2017-11-21 19:19:59.0,904,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-22 22:59:55.0,2017-11-22 23:15:02.0,907,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-23 22:59:55.0,2017-11-23 23:15:04.0,909,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-24 23:00:03.0,2017-11-24 23:15:06.0,903,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-27 21:13:00.0,2017-11-27 21:18:17.0,317,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-27 23:00:00.0,2017-11-27 23:15:12.0,912,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-29 21:59:56.0,2017-11-29 22:15:17.0,921,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:18:55.0,2017-11-30 10:21:51.0,176,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:22:56.0,2017-11-30 10:27:14.0,258,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:55:56.0,2017-11-30 11:24:57.0,1741,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 21:59:48.0,2017-11-30 22:14:38.0,890,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-01 21:59:48.0,2017-12-01 22:14:37.0,889,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-02 07:42:48.0,2017-12-02 18:09:58.0,37630,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-02 21:59:48.0,2017-12-02 22:14:40.0,892,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-03 21:59:48.0,2017-12-03 22:14:40.0,892,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-04 21:59:48.0,2017-12-04 22:14:52.0,904,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-05 08:14:48.0,2017-12-05 08:25:34.0,646,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-05 17:47:48.0,2017-12-05 18:02:31.0,883,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-05 21:59:48.0,2017-12-05 22:14:52.0,904,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-06 21:59:48.0,2017-12-06 22:14:54.0,906,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0002],
