dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-09-12 08:09:38.0,2017-09-12 08:10:38.0,60,,4,1
2017-09-12 08:19:38.0,2017-09-12 08:20:38.0,60,,4,1
2017-09-12 08:32:37.0,2017-09-12 08:33:38.0,61,,4,1
2017-09-19 02:13:51.0,2017-09-19 02:14:52.0,61,,4,1
2017-09-24 04:49:02.0,2017-09-24 04:50:03.0,61,,4,1
2017-09-24 05:06:02.0,2017-09-24 05:07:02.0,60,,4,1
2017-10-10 22:08:37.0,2017-10-10 22:09:36.0,59,,4,1
2017-10-27 21:28:12.0,2017-10-27 21:29:12.0,60,,4,1
2017-11-14 08:29:48.0,2017-11-14 08:30:48.0,60,,4,1
2017-11-16 00:26:52.0,2017-11-16 00:27:52.0,60,,4,1
2017-11-16 02:02:52.0,2017-11-16 02:03:52.0,60,,4,1
2017-11-16 02:07:52.0,2017-11-16 02:08:52.0,60,,4,1
2017-11-16 05:01:52.0,2017-11-16 05:02:52.0,60,,4,1
2017-11-21 00:02:57.0,2017-11-21 00:03:57.0,60,,4,1
2017-11-21 02:17:18.0,2017-11-21 02:17:57.0,39,,4,1
2017-11-28 04:32:14.0,2017-11-28 04:33:14.0,60,,4,1
2017-12-27 21:43:59.0,2017-12-27 21:44:58.0,59,,4,1
2017-12-29 02:56:21.0,2017-12-29 02:57:20.0,59,,4,1
2017-12-29 03:07:21.0,2017-12-29 03:08:20.0,59,,4,1
