dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-10-03 01:23:37.0,2017-10-03 01:29:09.0,332,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-03 02:23:41.0,2017-10-03 02:26:26.0,165,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-03 03:41:21.0,2017-10-03 03:44:21.0,180,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-04 14:50:24.0,2017-10-04 14:59:23.0,539,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-05 03:59:24.0,2017-10-05 04:01:55.0,151,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-05 04:42:25.0,2017-10-05 04:44:56.0,151,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-05 04:46:35.0,2017-10-05 04:49:25.0,170,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-11 06:13:37.0,2017-10-11 06:20:37.0,420,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-19 06:29:54.0,2017-10-19 06:32:54.0,180,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-22 05:23:00.0,2017-10-22 05:25:36.0,156,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-22 09:28:00.0,2017-10-22 09:56:01.0,1681,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-26 12:29:09.0,2017-10-26 12:34:05.0,296,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-26 15:14:09.0,2017-10-26 15:16:47.0,158,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-26 15:19:38.0,2017-10-26 15:22:34.0,176,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 20:15:12.0,2017-10-27 20:18:12.0,180,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 23:43:13.0,2017-10-27 23:48:12.0,299,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-28 01:15:12.0,2017-10-28 01:18:13.0,181,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-14 01:14:48.0,2017-11-14 01:19:13.0,265,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-14 03:12:48.0,2017-11-14 03:17:31.0,283,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 02:15:52.0,2017-11-16 02:19:52.0,240,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 18:19:54.0,2017-11-16 18:31:50.0,716,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 17:48:57.0,2017-11-20 17:51:57.0,180,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 17:52:57.0,2017-11-20 18:03:58.0,661,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 19:04:57.0,2017-11-21 19:20:01.0,904,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-22 22:59:57.0,2017-11-22 23:15:03.0,906,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-23 22:59:57.0,2017-11-23 23:15:06.0,909,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-24 23:00:06.0,2017-11-24 23:15:07.0,901,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-27 21:13:02.0,2017-11-27 21:18:14.0,312,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-27 23:00:02.0,2017-11-27 23:15:14.0,912,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-29 21:59:57.0,2017-11-29 22:15:18.0,921,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:55:58.0,2017-11-30 11:22:55.0,1617,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 13:53:10.0,2017-11-30 13:56:16.0,186,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 15:10:50.0,2017-11-30 15:16:45.0,355,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 21:59:50.0,2017-11-30 22:14:38.0,888,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-01 21:59:50.0,2017-12-01 22:14:37.0,887,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-02 21:59:50.0,2017-12-02 22:14:40.0,890,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-03 21:59:50.0,2017-12-03 22:14:41.0,891,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
