dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-10-04 14:50:47.0,2017-10-04 14:58:48.0,481,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-19 03:02:18.0,2017-10-19 03:06:08.0,230,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 09:28:25.0,2017-10-22 09:56:25.0,1680,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-26 12:29:34.0,2017-10-26 12:33:17.0,223,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 20:14:36.0,2017-10-27 20:18:36.0,240,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 23:42:37.0,2017-10-27 23:48:36.0,359,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-28 01:15:37.0,2017-10-28 01:18:37.0,180,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-13 22:34:12.0,2017-11-13 22:37:12.0,180,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 01:14:12.0,2017-11-14 01:19:22.0,310,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 03:12:59.0,2017-11-14 03:16:08.0,189,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 02:15:16.0,2017-11-16 02:18:18.0,182,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 18:20:18.0,2017-11-16 18:32:14.0,716,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 17:48:21.0,2017-11-20 17:51:21.0,180,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 17:53:21.0,2017-11-20 18:03:22.0,601,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:04:21.0,2017-11-21 19:19:25.0,904,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 22:59:21.0,2017-11-22 23:14:27.0,906,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:21.0,2017-11-23 23:14:30.0,909,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 22:59:21.0,2017-11-24 23:14:32.0,911,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 22:59:26.0,2017-11-27 23:14:38.0,912,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 22:00:21.0,2017-11-29 22:15:42.0,921,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:19:21.0,2017-11-30 10:22:08.0,167,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:23:29.0,2017-11-30 10:27:13.0,224,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:55:21.0,2017-11-30 11:22:55.0,1654,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 13:52:34.0,2017-11-30 13:56:04.0,210,MSRPNAS_SWL3,ifOperStatus[Trunk Port ID 0001],
