dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-23 07:18:15.0,2017-09-23 07:20:50.0,155,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-23 08:06:15.0,2017-09-23 08:08:49.0,154,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 17:35:26.0,2017-09-28 17:44:25.0,539,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 17:52:01.0,2017-09-28 18:08:55.0,1014,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 18:13:26.0,2017-09-28 18:16:09.0,163,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 18:16:26.0,2017-09-28 18:19:45.0,199,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 17:10:33.0,2017-10-01 17:14:44.0,251,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-02 05:46:33.0,2017-10-03 20:21:37.0,138904,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-04 14:50:37.0,2017-10-04 14:58:38.0,481,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 20:50:54.0,2017-10-12 20:59:06.0,492,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:01:56.0,2017-10-12 21:05:42.0,226,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:07:54.0,2017-10-12 21:20:30.0,756,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-19 04:17:09.0,2017-10-19 04:21:07.0,238,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-19 04:42:08.0,2017-10-19 04:44:58.0,170,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 09:28:15.0,2017-10-22 09:56:14.0,1679,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-23 16:01:17.0,2017-10-23 16:04:31.0,194,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-23 16:10:17.0,2017-10-23 16:14:16.0,239,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 16:52:26.0,2017-10-27 17:27:18.0,2092,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 17:31:26.0,2017-10-27 17:43:34.0,728,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 18:58:26.0,2017-10-27 19:00:57.0,151,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 20:15:26.0,2017-10-27 20:18:26.0,180,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 23:43:26.0,2017-10-27 23:49:26.0,360,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-28 01:15:26.0,2017-10-28 01:18:26.0,180,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-28 02:26:27.0,2017-10-28 13:38:27.0,40320,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-13 22:34:02.0,2017-11-13 22:37:02.0,180,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 18:20:08.0,2017-11-16 18:32:04.0,716,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 00:31:10.0,2017-11-20 00:33:48.0,158,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 17:48:11.0,2017-11-20 17:51:11.0,180,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 17:53:11.0,2017-11-20 18:03:12.0,601,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:04:11.0,2017-11-21 19:19:15.0,904,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 22:59:11.0,2017-11-22 23:14:18.0,907,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
