dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-10-02 05:46:39.0,2017-10-02 05:49:57.0,198,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-04 05:46:43.0,2017-10-04 05:49:44.0,181,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-04 14:50:43.0,2017-10-04 14:59:43.0,540,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-11 06:13:57.0,2017-10-11 06:20:57.0,420,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-22 09:28:21.0,2017-10-22 09:56:21.0,1680,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-26 12:27:29.0,2017-10-26 12:34:29.0,420,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 20:15:32.0,2017-10-27 20:18:32.0,180,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 23:43:32.0,2017-10-27 23:49:32.0,360,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-28 01:15:33.0,2017-10-28 01:18:33.0,180,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-13 22:34:08.0,2017-11-13 22:37:08.0,180,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-14 01:14:09.0,2017-11-14 01:18:48.0,279,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-14 03:12:08.0,2017-11-14 03:15:16.0,188,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 18:20:14.0,2017-11-16 18:32:10.0,716,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 17:48:17.0,2017-11-20 17:51:17.0,180,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 17:53:17.0,2017-11-20 18:03:18.0,601,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 19:04:17.0,2017-11-21 19:19:21.0,904,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-22 22:59:17.0,2017-11-22 23:14:23.0,906,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-23 22:59:17.0,2017-11-23 23:14:26.0,909,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-24 22:59:17.0,2017-11-24 23:14:30.0,913,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-27 23:00:22.0,2017-11-27 23:15:34.0,912,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-29 22:00:17.0,2017-11-29 22:15:38.0,921,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:19:17.0,2017-11-30 10:21:56.0,159,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:23:18.0,2017-11-30 10:27:04.0,226,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:55:17.0,2017-12-21 19:01:18.0,1843561,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-22 00:59:18.0,2017-12-22 01:15:25.0,967,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-22 09:09:18.0,2017-12-22 09:13:57.0,279,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-22 09:14:18.0,2017-12-22 09:17:27.0,189,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-22 11:48:18.0,2017-12-22 11:56:18.0,480,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-23 01:00:18.0,2017-12-23 01:16:27.0,969,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-24 00:59:18.0,2017-12-24 01:15:30.0,972,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-25 00:59:18.0,2017-12-25 01:15:32.0,974,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-26 00:59:18.0,2017-12-26 01:15:34.0,976,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-27 01:00:18.0,2017-12-27 01:16:36.0,978,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-28 00:59:18.0,2017-12-28 01:15:39.0,981,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-29 01:00:18.0,2017-12-29 01:16:40.0,982,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-30 01:00:18.0,2017-12-30 01:16:43.0,985,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-31 01:00:18.0,2017-12-31 01:16:45.0,987,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0002],
