dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-10-26 12:26:29.0,2017-10-26 12:29:48.0,2017-10-26 12:35:30.0,541,199,MSRPRBR_SWL3,342,12256214
2017-11-30 10:55:06.0,2017-12-21 18:55:52.0,2017-12-21 19:00:58.0,1843552,1843246,SW01A_MSRPRBR,306,10442222
2017-11-30 10:53:53.0,2017-12-21 18:55:46.0,2017-12-21 19:01:33.0,1843660,1843313,SW01B_MSRPRBR,347,10442162
2017-10-01 19:38:13.0,2017-10-01 19:42:19.0,2017-10-01 19:48:14.0,601,246,RD01_MSRPRBR,355,7358829
2017-10-06 18:53:23.0,2017-10-06 18:56:07.0,2017-10-06 18:58:22.0,299,164,RD01_MSRPRBR,135,429065
2017-11-30 10:51:52.0,2017-12-23 20:16:02.0,2017-12-23 20:18:17.0,2021185,2021050,RD01_MSRPRBR,135,4719530
2017-11-30 10:51:53.0,2017-12-21 18:25:51.0,2017-12-21 19:14:54.0,1844581,1841638,RD02_MSRPRBR,2943,11907105
2017-10-09 16:20:18.0,2017-10-09 16:25:00.0,2017-10-09 16:30:18.0,600,282,RD03_MSRPRBR,318,8039564
2017-11-30 10:53:41.0,2017-12-23 19:29:42.0,2017-12-23 20:08:43.0,2020502,2018161,RD03_MSRPRBR,2341,4469507
2017-12-23 20:13:42.0,2017-12-23 20:15:41.0,2017-12-23 20:18:42.0,300,119,RD03_MSRPRBR,181,2640
2017-11-30 10:51:57.0,2017-12-23 19:48:35.0,2017-12-23 20:02:16.0,2020219,2019398,RD04_MSRPRBR,821,12510735
