dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-18 08:03:00.0,2017-09-18 08:19:11.0,971,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-09-23 07:18:11.0,2017-09-23 07:21:49.0,218,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-09-23 07:36:11.0,2017-09-23 07:39:38.0,207,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-09-23 08:06:11.0,2017-09-23 08:10:18.0,247,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-09-24 14:53:13.0,2017-09-24 15:11:11.0,1078,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-09-27 10:56:20.0,2017-09-27 13:42:19.0,9959,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-09-28 17:35:22.0,2017-09-28 17:43:11.0,469,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-09-28 17:52:06.0,2017-09-28 18:09:06.0,1020,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-09-28 18:13:22.0,2017-09-28 18:20:46.0,444,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-01 16:25:28.0,2017-10-01 16:32:02.0,394,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-01 16:33:28.0,2017-10-01 16:37:56.0,268,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-01 16:40:28.0,2017-10-01 16:47:28.0,420,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-01 17:10:29.0,2017-10-01 17:14:59.0,270,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-01 17:23:28.0,2017-10-03 20:21:33.0,183485,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-11 06:13:47.0,2017-10-11 06:23:47.0,600,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-12 01:51:50.0,2017-10-12 01:54:59.0,189,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-12 02:44:03.0,2017-10-12 02:47:49.0,226,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-12 20:50:50.0,2017-10-12 20:54:57.0,247,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-12 20:56:53.0,2017-10-12 20:59:27.0,154,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-12 21:01:51.0,2017-10-12 21:06:18.0,267,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-12 21:07:51.0,2017-10-12 21:19:55.0,724,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-12 21:22:50.0,2017-10-12 21:27:38.0,288,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-13 01:25:51.0,2017-10-13 01:29:40.0,229,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-19 04:18:20.0,2017-10-19 04:21:04.0,164,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-19 04:34:04.0,2017-10-19 04:36:39.0,155,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-20 04:05:06.0,2017-10-20 10:27:29.0,22943,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-21 22:18:18.0,2017-10-21 22:29:07.0,649,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-21 22:29:09.0,2017-10-21 22:37:40.0,511,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-22 09:28:11.0,2017-10-22 09:56:10.0,1679,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-25 21:07:18.0,2017-10-25 21:11:12.0,234,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 15:13:21.0,2017-10-27 15:17:20.0,239,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 15:37:22.0,2017-10-27 15:55:02.0,1060,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 16:52:22.0,2017-10-27 17:22:34.0,1812,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 17:22:34.0,2017-10-27 17:26:35.0,241,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 17:31:21.0,2017-10-27 17:44:25.0,784,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 18:58:22.0,2017-10-27 19:01:52.0,210,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 20:15:22.0,2017-10-27 20:18:22.0,180,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 23:43:23.0,2017-10-27 23:48:22.0,299,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-28 01:15:22.0,2017-10-28 01:18:23.0,181,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-28 02:27:22.0,2017-10-28 13:38:23.0,40261,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 00:00:18.0,2017-11-16 00:03:58.0,220,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 18:20:03.0,2017-11-16 18:32:00.0,717,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-18 08:10:03.0,2017-11-18 08:13:47.0,224,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-20 00:31:07.0,2017-11-20 00:34:03.0,176,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-20 00:34:03.0,2017-11-20 00:37:07.0,184,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-20 17:48:07.0,2017-11-20 17:51:07.0,180,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-20 17:53:07.0,2017-11-20 18:03:08.0,601,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-21 19:05:07.0,2017-11-21 19:20:11.0,904,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-22 23:00:07.0,2017-11-22 23:15:14.0,907,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-23 06:58:24.0,2017-11-23 07:01:16.0,172,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-23 23:00:07.0,2017-11-23 23:15:15.0,908,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-24 00:35:08.0,2017-11-24 00:38:21.0,193,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-24 22:59:07.0,2017-11-25 13:20:07.0,51660,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-25 13:20:07.0,2017-11-25 13:24:09.0,242,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-25 13:24:09.0,2017-11-25 13:28:54.0,285,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-25 13:31:07.0,2017-11-25 14:17:57.0,2810,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-27 23:00:12.0,2017-11-27 23:15:24.0,912,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-28 06:26:24.0,2017-11-28 06:31:36.0,312,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-28 06:38:24.0,2017-11-28 06:41:30.0,186,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-29 22:00:07.0,2017-11-29 22:15:28.0,921,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-30 09:59:07.0,2017-11-30 10:02:37.0,210,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-30 10:56:07.0,2017-12-04 12:14:08.0,350281,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-04 22:00:07.0,2017-12-04 22:15:39.0,932,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-05 17:55:08.0,2017-12-05 18:04:07.0,539,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-05 22:00:08.0,2017-12-05 22:15:41.0,933,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-06 22:00:08.0,2017-12-06 22:15:43.0,935,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-07 23:00:07.0,2017-12-07 23:15:46.0,939,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-08 19:11:07.0,2017-12-08 20:13:08.0,3721,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-08 23:00:07.0,2017-12-08 23:15:48.0,941,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-09 09:05:09.0,2017-12-09 09:07:45.0,156,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-09 18:45:08.0,2017-12-09 18:48:31.0,203,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-09 18:48:31.0,2017-12-09 18:54:38.0,367,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-09 18:58:08.0,2017-12-09 19:03:57.0,349,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-09 19:07:07.0,2017-12-09 19:11:23.0,256,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-09 19:11:23.0,2017-12-09 19:20:09.0,526,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-09 19:23:09.0,2017-12-09 19:29:03.0,354,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-09 19:29:08.0,2017-12-09 19:39:55.0,647,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-09 19:39:55.0,2017-12-09 20:20:08.0,2413,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
