dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-09-24 14:51:13.0,2017-09-24 15:06:51.0,2017-09-24 15:11:11.0,1198,938,MSRPTCU_SWL3,260,1323066
2017-09-27 10:54:19.0,2017-09-27 13:37:55.0,2017-09-27 13:42:15.0,10076,9816,MSRPTCU_SWL3,260,244052
2017-10-01 17:21:28.0,2017-10-03 13:15:28.0,2017-10-03 20:21:33.0,183605,158040,MSRPTCU_SWL3,25565,359021
2017-09-24 14:52:10.0,2017-09-24 15:06:15.0,2017-09-24 15:10:10.0,1080,845,SW01A_MSRPTCU,235,1323129
2017-09-27 10:52:15.0,2017-09-27 13:37:19.0,2017-09-27 13:41:19.0,10144,9904,SW01A_MSRPTCU,240,243960
2017-10-01 17:22:24.0,2017-10-03 13:14:55.0,2017-10-03 19:57:59.0,182135,157951,SW01A_MSRPTCU,24184,359104
2017-09-24 14:52:14.0,2017-09-24 15:06:15.0,2017-09-24 15:10:54.0,1120,841,SW01B_MSRPTCU,279,1323133
2017-09-27 10:52:19.0,2017-09-27 13:37:19.0,2017-09-27 13:41:49.0,10170,9900,SW01B_MSRPTCU,270,243964
2017-10-01 17:22:27.0,2017-10-03 13:14:55.0,2017-10-03 19:57:40.0,182113,157948,SW01B_MSRPTCU,24165,359108
2017-09-24 14:53:31.0,2017-09-24 15:06:20.0,2017-09-24 15:10:17.0,1006,769,RD01_MSRPTCU,237,1323205
2017-09-27 10:53:35.0,2017-09-27 13:37:23.0,2017-09-27 13:41:20.0,10065,9828,RD01_MSRPTCU,237,244029
2017-10-01 17:23:44.0,2017-10-03 13:14:59.0,2017-10-03 19:57:52.0,182048,157875,RD01_MSRPTCU,24173,359181
2017-09-24 14:53:35.0,2017-09-24 15:06:20.0,2017-09-24 15:13:34.0,1199,765,RD02_MSRPTCU,434,1323209
2017-09-27 10:53:40.0,2017-09-27 13:37:23.0,2017-09-27 13:41:21.0,10061,9823,RD02_MSRPTCU,238,244033
2017-10-01 17:23:48.0,2017-10-03 13:14:59.0,2017-10-03 19:57:53.0,182045,157871,RD02_MSRPTCU,24174,359185
2017-09-24 14:53:39.0,2017-09-24 15:06:20.0,2017-09-24 15:13:38.0,1199,761,RD03_MSRPTCU,438,1323213
2017-09-27 10:53:44.0,2017-09-27 13:37:23.0,2017-09-27 13:41:23.0,10059,9819,RD03_MSRPTCU,240,244044
2017-10-01 17:23:52.0,2017-10-03 13:14:59.0,2017-10-03 19:58:56.0,182104,157867,RD03_MSRPTCU,24237,359189
2017-09-24 14:53:43.0,2017-09-24 15:06:20.0,2017-09-24 15:13:42.0,1199,757,RD04_MSRPTCU,442,1323217
2017-09-27 10:53:48.0,2017-09-27 13:37:24.0,2017-09-27 13:41:28.0,10060,9816,RD04_MSRPTCU,244,244047
2017-10-01 17:23:57.0,2017-10-03 13:15:00.0,2017-10-03 19:57:29.0,182012,157863,RD04_MSRPTCU,24149,359192
