dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-09-29 16:57:10.0,2017-09-29 16:59:10.0,120,,4,1
2017-12-02 07:43:47.0,2017-12-02 18:09:46.0,37559,,4,1
2017-12-15 15:36:48.0,2017-12-15 16:00:46.0,1438,,4,1
2017-12-15 16:20:46.0,2017-12-15 16:51:46.0,1860,,4,1
2017-12-15 16:56:46.0,2017-12-15 16:58:46.0,120,,4,1
2017-12-15 16:59:47.0,2017-12-15 17:06:46.0,419,,4,1
2017-12-15 17:09:47.0,2017-12-15 17:11:46.0,119,,4,1
2017-12-15 17:13:04.0,2017-12-15 17:13:59.0,55,,4,1
2017-12-15 17:14:46.0,2017-12-15 17:24:46.0,600,,4,1
2017-12-15 17:39:47.0,2017-12-15 17:42:46.0,179,,4,1
2017-12-15 19:05:46.0,2017-12-15 19:12:46.0,420,,4,1
2017-12-15 19:32:46.0,2017-12-15 19:33:46.0,60,,4,1
2017-12-18 19:37:46.0,2017-12-18 19:38:46.0,60,,4,1
2018-01-22 12:00:55.0,2018-01-22 12:01:55.0,60,,4,1
2018-01-24 17:07:57.0,2018-01-24 17:09:55.0,118,,4,1
2018-07-12 16:56:09.0,2018-07-12 16:58:08.0,119,,4,1
