dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-09-12 08:09:38.0,2017-09-12 08:10:38.0,60,,4,1
2017-09-12 08:19:38.0,2017-09-12 08:20:38.0,60,,4,1
2017-09-12 08:32:37.0,2017-09-12 08:33:38.0,61,,4,1
2017-09-19 02:13:51.0,2017-09-19 02:14:52.0,61,,4,1
2017-09-24 04:49:02.0,2017-09-24 04:50:03.0,61,,4,1
2017-09-24 05:06:02.0,2017-09-24 05:07:02.0,60,,4,1
2017-10-10 22:08:37.0,2017-10-10 22:09:36.0,59,,4,1
2017-10-27 21:28:12.0,2017-10-27 21:29:12.0,60,,4,1
2017-11-14 08:29:48.0,2017-11-14 08:30:48.0,60,,4,1
2017-11-16 00:26:52.0,2017-11-16 00:27:52.0,60,,4,1
2017-11-16 02:02:52.0,2017-11-16 02:03:52.0,60,,4,1
2017-11-16 02:07:52.0,2017-11-16 02:08:52.0,60,,4,1
2017-11-16 05:01:52.0,2017-11-16 05:02:52.0,60,,4,1
2017-11-21 00:02:57.0,2017-11-21 00:03:57.0,60,,4,1
2017-11-21 02:17:18.0,2017-11-21 02:17:57.0,39,,4,1
2017-11-28 04:32:14.0,2017-11-28 04:33:14.0,60,,4,1
2017-12-27 21:43:59.0,2017-12-27 21:44:58.0,59,,4,1
2017-12-29 02:56:21.0,2017-12-29 02:57:20.0,59,,4,1
2017-12-29 03:07:21.0,2017-12-29 03:08:20.0,59,,4,1
2018-01-18 04:03:04.0,2018-01-18 04:04:04.0,60,,4,1
2018-01-20 01:19:59.0,2018-01-20 01:20:59.0,60,,4,1
2018-01-20 01:33:59.0,2018-01-20 01:34:59.0,60,,4,1
2018-01-21 04:40:10.0,2018-01-21 04:41:10.0,60,,4,1
2018-01-21 04:51:59.0,2018-01-21 04:52:10.0,11,,4,1
2018-01-21 05:05:59.0,2018-01-21 05:06:10.0,11,,4,1
2018-01-22 06:25:17.0,2018-01-22 06:26:16.0,59,,4,1
2018-01-23 04:15:15.0,2018-01-23 04:16:33.0,78,,4,1
2018-01-23 04:21:14.0,2018-01-23 04:22:15.0,61,,4,1
2018-01-23 04:27:15.0,2018-01-23 04:28:14.0,59,,4,1
2018-02-18 14:55:08.0,2018-02-18 14:56:08.0,60,,4,1
2018-02-20 04:08:08.0,2018-02-20 04:09:08.0,60,,4,1
2018-02-20 04:11:09.0,2018-02-20 04:12:27.0,78,,4,1
2018-02-20 04:20:34.0,2018-02-20 04:22:08.0,94,,4,1
2018-02-20 04:25:22.0,2018-02-20 04:26:09.0,47,,4,1
2018-03-16 23:21:01.0,2018-03-16 23:22:01.0,60,,4,1
2018-04-01 19:10:58.0,2018-04-01 19:11:40.0,42,,4,1
2018-04-05 23:59:02.0,2018-04-06 00:00:07.0,65,,4,1
2018-04-08 02:24:22.0,2018-04-08 02:25:02.0,40,,4,1
2018-04-08 02:25:55.0,2018-04-08 02:29:55.0,240,,4,1
2018-04-12 07:40:04.0,2018-04-12 07:40:56.0,52,,4,1
2018-04-26 05:57:26.0,2018-04-26 05:58:27.0,61,,4,1
2018-05-15 02:47:12.0,2018-05-15 02:48:12.0,60,,4,1
2018-05-19 04:21:31.0,2018-05-19 04:22:27.0,56,,4,1
2018-06-25 08:56:49.0,2018-06-25 08:57:42.0,53,,4,1
2018-06-27 02:13:09.0,2018-06-27 02:15:06.0,117,,4,1
2018-06-27 02:18:17.0,2018-06-27 02:19:06.0,49,,4,1
2018-06-27 04:01:06.0,2018-06-27 04:02:18.0,72,,4,1
2018-08-13 02:34:17.0,2018-08-13 02:35:15.0,58,,4,1
2018-08-17 01:02:08.0,2018-08-17 01:03:08.0,60,,4,1
