dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-12-08 19:09:22.0,2017-12-08 19:45:41.0,2017-12-08 19:49:59.0,2437,2179,SW01B_MSOMCGR,258,10205586
2017-12-08 19:09:26.0,2017-12-08 19:45:41.0,2017-12-08 19:50:33.0,2467,2175,SW01A_MSOMCGR,292,10205823
2017-12-08 19:09:31.0,2017-12-08 19:45:44.0,2017-12-08 19:49:37.0,2406,2173,RD04_MSOMCGR,233,10135106
2017-12-15 16:59:30.0,2017-12-15 17:02:53.0,2017-12-15 17:05:14.0,344,203,RD04_MSOMCGR,141,594825
2017-12-15 17:14:30.0,2017-12-15 17:20:20.0,2017-12-15 17:22:25.0,475,350,RD04_MSOMCGR,125,697
2017-12-15 18:19:31.0,2017-12-15 18:22:53.0,2017-12-15 18:29:30.0,599,202,RD04_MSOMCGR,397,3550
2017-12-15 18:29:30.0,2017-12-15 18:33:37.0,2017-12-15 18:39:31.0,601,247,RD04_MSOMCGR,354,397
2017-12-15 18:39:31.0,2017-12-15 18:43:48.0,2017-12-15 18:54:30.0,899,257,RD04_MSOMCGR,642,354
2017-12-15 18:54:30.0,2017-12-15 18:55:12.0,2017-12-15 18:59:31.0,301,42,RD04_MSOMCGR,259,642
2017-12-15 19:04:30.0,2017-12-15 19:10:52.0,2017-12-15 19:19:31.0,901,382,RD04_MSOMCGR,519,558
2017-12-15 19:29:31.0,2017-12-15 19:32:15.0,2017-12-15 19:34:31.0,300,164,RD04_MSOMCGR,136,1119
2017-12-18 19:24:30.0,2017-12-18 19:29:50.0,2017-12-18 19:34:31.0,601,320,RD04_MSOMCGR,281,258736
2017-12-18 19:34:31.0,2017-12-18 19:39:32.0,2017-12-18 19:44:31.0,600,301,RD04_MSOMCGR,299,281
2018-01-17 10:59:31.0,2018-01-17 11:08:27.0,2018-01-17 11:19:31.0,1200,536,RD04_MSOMCGR,664,2560799
2018-03-28 15:44:31.0,2018-03-28 16:03:45.0,2018-03-28 16:09:30.0,1499,1154,RD04_MSOMCGR,345,6067012
2018-05-26 19:39:31.0,2018-05-26 19:44:41.0,2018-05-26 19:49:31.0,600,310,RD04_MSOMCGR,290,5110351
2018-06-18 17:59:31.0,2018-06-18 18:04:44.0,2018-06-18 18:06:56.0,445,313,RD04_MSOMCGR,132,1980825
2017-12-08 19:09:35.0,2017-12-08 19:45:45.0,2017-12-08 19:49:53.0,2418,2170,RD03_MSOMCGR,248,10044099
2017-12-15 16:59:34.0,2017-12-15 17:03:17.0,2017-12-15 17:09:34.0,600,223,RD03_MSOMCGR,377,594829
2017-12-15 17:14:35.0,2017-12-15 17:23:05.0,2017-12-15 17:29:35.0,900,510,RD03_MSOMCGR,390,677
2017-12-15 19:19:34.0,2017-12-15 19:28:46.0,2017-12-15 19:39:34.0,1200,552,RD03_MSOMCGR,648,6989
2017-12-15 19:39:34.0,2017-12-15 20:00:11.0,2017-12-15 20:09:34.0,1800,1237,RD03_MSOMCGR,563,648
2017-12-18 17:24:35.0,2017-12-18 17:25:20.0,2017-12-18 17:29:34.0,299,45,RD03_MSOMCGR,254,249863
2017-12-18 19:09:35.0,2017-12-18 19:18:58.0,2017-12-18 19:29:35.0,1200,563,RD03_MSOMCGR,637,6254
2017-12-18 19:29:35.0,2017-12-18 19:37:22.0,2017-12-18 19:44:35.0,900,467,RD03_MSOMCGR,433,637
2018-06-18 17:44:34.0,2018-06-18 17:49:03.0,2018-06-18 17:54:34.0,600,269,RD03_MSOMCGR,331,15720248
2017-12-08 19:09:38.0,2017-12-08 19:45:45.0,2017-12-08 19:50:08.0,2430,2167,RD02_MSOMCGR,263,26542647
2018-05-09 18:15:23.0,2018-05-09 18:24:35.0,2018-05-09 18:34:49.0,1166,552,RD02_MSOMCGR,614,13129748
2018-05-10 15:39:38.0,2018-05-10 15:41:23.0,2018-05-10 15:44:38.0,300,105,RD02_MSOMCGR,195,76503
2018-05-21 15:42:23.0,2018-05-21 15:46:42.0,2018-05-21 15:56:32.0,849,259,RD02_MSOMCGR,590,950428
2018-05-21 19:24:39.0,2018-05-21 19:26:26.0,2018-05-21 19:30:23.0,344,107,RD02_MSOMCGR,237,13077
2018-06-20 15:45:00.0,2018-06-20 15:50:35.0,2018-06-20 15:54:29.0,569,335,RD02_MSOMCGR,234,2578649
2017-12-08 19:09:43.0,2017-12-08 19:45:45.0,2017-12-08 19:54:42.0,2699,2162,RD01_MSOMCGR,537,26543330
2017-12-08 19:09:46.0,2017-12-08 19:46:20.0,2017-12-08 19:49:49.0,2403,2194,MSOMCGR_SWL3,209,10206189
2018-06-12 15:25:07.0,2018-06-12 15:26:44.0,2018-06-12 15:31:07.0,360,97,MSOMCGR_SWL3,263,16057797
