dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2018-03-26 09:02:39.0,2018-03-26 10:02:31.0,2018-03-26 10:05:45.0,3786,3592,MSOMIGT_SWL3,194,24072929
2018-03-26 09:04:27.0,2018-03-26 10:01:55.0,2018-03-26 10:06:23.0,3716,3448,SW01A_MSOMIGT,268,24072080
2018-03-26 09:04:31.0,2018-03-26 10:01:55.0,2018-03-26 10:06:39.0,3728,3444,SW01B_MSOMIGT,284,24072120
2018-03-26 09:00:56.0,2018-03-26 10:01:57.0,2018-03-26 10:06:04.0,3908,3661,RD01_MSOMIGT,247,24071901
2017-10-09 16:24:18.0,2017-10-09 16:28:32.0,2017-10-09 16:34:18.0,600,254,RD02_MSOMIGT,346,9584271
2018-03-26 09:01:00.0,2018-03-26 10:01:58.0,2018-03-26 10:05:46.0,3886,3658,RD02_MSOMIGT,228,14487404
2017-10-09 16:24:23.0,2017-10-09 16:27:21.0,2017-10-09 16:34:23.0,600,178,RD03_MSOMIGT,422,9584282
2018-03-26 09:01:04.0,2018-03-26 10:01:59.0,2018-03-26 10:05:47.0,3883,3655,RD03_MSOMIGT,228,14487424
2017-10-26 18:15:00.0,2017-10-26 18:20:37.0,2017-10-26 18:23:07.0,487,337,RD04_MSOMIGT,150,11056117
2018-01-16 17:53:29.0,2018-01-16 17:56:50.0,2018-01-16 18:03:29.0,600,201,RD04_MSOMIGT,399,7083357
2018-02-12 10:54:36.0,2018-02-12 10:59:00.0,2018-02-12 11:04:36.0,600,264,RD04_MSOMIGT,336,2306448
2018-03-26 09:01:08.0,2018-03-26 10:01:58.0,2018-03-26 10:05:58.0,3890,3650,RD04_MSOMIGT,240,3625169
