dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-29 16:56:50.0,2017-09-29 17:00:08.0,198,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-04 12:06:50.0,2017-10-04 17:04:50.0,17880,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-07 18:20:50.0,2017-10-07 19:25:11.0,3861,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 08:57:50.0,2017-10-22 09:54:12.0,3382,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 20:40:50.0,2017-10-27 20:49:13.0,503,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-30 08:54:50.0,2017-10-30 09:49:18.0,3268,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 01:14:48.0,2017-11-14 01:19:13.0,265,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 03:12:48.0,2017-11-14 03:17:39.0,291,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 04:23:48.0,2017-11-14 04:26:21.0,153,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-15 23:42:52.0,2017-11-15 23:47:53.0,301,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 00:24:53.0,2017-11-16 00:28:14.0,201,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 02:15:52.0,2017-11-16 02:24:00.0,488,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-16 18:19:54.0,2017-11-16 18:31:50.0,716,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-20 17:48:57.0,2017-11-20 17:51:57.0,180,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 00:00:57.0,2017-11-21 00:04:57.0,240,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 00:08:06.0,2017-11-21 00:10:57.0,171,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 00:29:57.0,2017-11-21 00:32:58.0,181,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 02:15:57.0,2017-11-21 02:18:57.0,180,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:04:57.0,2017-11-21 19:20:01.0,904,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 22:59:57.0,2017-11-22 23:15:03.0,906,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:57.0,2017-11-23 23:15:06.0,909,MSRPMPX_SWL3,ifOperStatus[Trunk Port ID 0001],
