dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-10-01 15:29:12.0,2017-10-01 15:34:54.0,342,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 18:19:42.0,2017-11-16 18:31:38.0,716,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 17:48:45.0,2017-11-20 17:51:45.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 19:04:45.0,2017-11-21 19:19:49.0,904,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-22 22:59:45.0,2017-11-22 23:14:51.0,906,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-23 22:59:45.0,2017-11-23 23:14:54.0,909,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-24 22:59:54.0,2017-11-24 23:14:56.0,902,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-27 22:59:50.0,2017-11-27 23:15:01.0,911,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-29 21:59:44.0,2017-11-29 22:15:05.0,921,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:55:45.0,2017-12-02 05:17:44.0,152519,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-02 05:17:44.0,2017-12-02 09:16:44.0,14340,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-04 21:59:44.0,2017-12-04 22:15:15.0,931,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-05 21:59:44.0,2017-12-05 22:15:17.0,933,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-06 21:59:44.0,2017-12-06 22:15:20.0,936,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-07 22:59:43.0,2017-12-07 23:15:22.0,939,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
