dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-02-03 10:55:35.0,2018-02-03 11:13:15.0,1060,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-02-05 16:40:36.0,2018-02-05 19:39:35.0,10739,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-02-10 00:59:35.0,2018-02-10 01:17:28.0,1073,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-02-24 00:59:34.0,2018-02-24 01:17:56.0,1102,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-03-03 00:59:34.0,2018-03-03 01:18:11.0,1117,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-03-10 00:59:33.0,2018-03-10 01:18:26.0,1133,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-03-17 00:59:32.0,2018-03-17 01:18:40.0,1148,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-03-17 12:24:40.0,2018-03-17 13:07:56.0,2596,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-03-19 10:01:48.0,2018-03-20 14:58:37.0,104209,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-03-24 00:59:32.0,2018-03-24 01:18:54.0,1162,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-04-07 00:59:30.0,2018-04-07 01:19:23.0,1193,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-05-04 15:42:07.0,2018-05-06 20:33:22.0,190275,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-05-10 21:53:22.0,2018-05-11 13:07:21.0,54839,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-06-08 12:23:16.0,2018-06-11 19:33:31.0,285015,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-06-16 00:59:25.0,2018-06-16 01:21:45.0,1340,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-06-23 17:34:00.0,2018-06-23 17:53:01.0,1141,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-06-30 00:59:24.0,2018-06-30 01:22:15.0,1371,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-06-30 16:39:14.0,2018-06-30 18:04:14.0,5100,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-07 00:59:23.0,2018-07-07 01:22:29.0,1386,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-09 08:30:29.0,2018-07-09 08:33:22.0,173,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-09 09:48:29.0,2018-07-09 09:51:29.0,180,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-09 09:51:29.0,2018-07-09 09:54:03.0,154,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-22 03:16:29.0,2018-07-22 03:22:29.0,360,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-07-30 09:37:28.0,2018-07-30 09:42:28.0,300,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
