dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-11-21 19:04:17.0,2017-11-21 19:19:21.0,904,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-11-22 22:59:17.0,2017-11-22 23:14:24.0,907,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-11-23 22:59:17.0,2017-11-23 23:14:26.0,909,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-11-24 22:59:17.0,2017-11-24 23:14:42.0,925,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-11-27 23:00:21.0,2017-11-27 23:15:34.0,913,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-11-29 22:00:16.0,2017-11-29 22:15:38.0,922,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-11-30 10:55:16.0,2017-12-02 05:17:15.0,152519,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-02 05:17:15.0,2017-12-02 09:17:16.0,14401,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-04 22:00:16.0,2017-12-04 22:15:48.0,932,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-05 21:59:16.0,2017-12-05 22:14:49.0,933,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-06 21:59:16.0,2017-12-06 22:14:51.0,935,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-07 23:00:16.0,2017-12-07 23:15:53.0,937,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-08 23:00:15.0,2017-12-08 23:15:55.0,940,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-09 22:59:15.0,2017-12-09 23:14:58.0,943,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-10 23:00:15.0,2017-12-10 23:15:59.0,944,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-11 22:59:16.0,2017-12-11 23:15:01.0,945,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-13 23:00:15.0,2017-12-13 23:16:06.0,951,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-14 23:00:15.0,2017-12-14 23:16:07.0,952,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-15 22:59:15.0,2017-12-15 23:15:09.0,954,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-16 22:59:15.0,2017-12-16 23:15:12.0,957,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-17 22:59:15.0,2017-12-17 23:15:14.0,959,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-19 00:59:15.0,2017-12-19 01:15:16.0,961,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-20 01:00:15.0,2017-12-20 01:16:18.0,963,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-21 01:00:14.0,2017-12-21 01:16:20.0,966,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-22 00:59:15.0,2017-12-22 01:15:22.0,967,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-23 01:00:14.0,2017-12-23 01:16:24.0,970,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-24 00:59:14.0,2017-12-24 01:15:26.0,972,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-25 00:59:14.0,2017-12-25 01:15:28.0,974,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-26 01:00:14.0,2017-12-26 01:16:30.0,976,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-27 01:00:14.0,2017-12-27 01:16:32.0,978,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-28 00:59:13.0,2017-12-28 01:15:34.0,981,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-29 01:00:13.0,2017-12-29 01:16:36.0,983,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-30 01:00:13.0,2017-12-30 01:16:38.0,985,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2017-12-31 01:00:14.0,2017-12-31 01:16:40.0,986,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-01 01:00:13.0,2018-01-01 01:16:42.0,989,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-02 01:00:13.0,2018-01-02 01:16:45.0,992,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-03 01:00:13.0,2018-01-03 01:16:46.0,993,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-04 01:00:13.0,2018-01-04 01:16:48.0,995,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-05 00:59:13.0,2018-01-05 01:15:50.0,997,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-06 00:59:13.0,2018-01-06 01:15:52.0,999,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-07 01:00:13.0,2018-01-07 01:16:55.0,1002,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-07 15:58:13.0,2018-01-07 20:38:04.0,16791,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-08 00:50:03.0,2018-01-08 01:06:47.0,1004,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-09 01:00:02.0,2018-01-09 01:16:48.0,1006,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-10 01:00:03.0,2018-01-10 01:16:50.0,1007,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-11 01:00:03.0,2018-01-11 01:16:53.0,1010,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-12 02:00:03.0,2018-01-12 02:16:55.0,1012,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-13 02:00:02.0,2018-01-13 02:16:56.0,1014,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-14 02:00:02.0,2018-01-14 02:16:58.0,1016,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-15 02:00:02.0,2018-01-15 02:17:00.0,1018,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-16 02:00:02.0,2018-01-16 02:17:03.0,1021,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-17 02:00:02.0,2018-01-17 02:17:04.0,1022,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-18 02:00:01.0,2018-01-18 02:17:07.0,1026,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-19 02:00:02.0,2018-01-19 02:17:09.0,1027,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-20 01:58:01.0,2018-01-20 02:15:11.0,1030,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
2018-01-21 02:00:01.0,2018-01-21 02:17:12.0,1031,MSOMCCL_SWL3,ifOperStatus[Trunk Port ID 0004],
