dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-11-21 19:04:53.0,2017-11-21 19:19:57.0,904,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 22:59:53.0,2017-11-22 23:14:59.0,906,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:53.0,2017-11-23 23:15:01.0,908,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 22:59:55.0,2017-11-24 23:15:04.0,909,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 22:59:58.0,2017-11-27 23:15:10.0,912,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 21:59:53.0,2017-11-29 22:15:14.0,921,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:55:53.0,2017-11-30 11:22:55.0,1622,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 21:59:47.0,2017-11-30 22:14:38.0,891,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-01 21:59:47.0,2017-12-01 22:14:36.0,889,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-02 21:59:46.0,2017-12-02 22:14:40.0,894,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-03 21:59:47.0,2017-12-03 22:14:40.0,893,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-04 21:59:46.0,2017-12-04 22:14:52.0,906,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 17:47:46.0,2017-12-05 18:02:30.0,884,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 21:59:47.0,2017-12-05 22:14:52.0,905,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-06 21:59:46.0,2017-12-06 22:14:54.0,908,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 22:25:46.0,2017-12-07 22:47:46.0,1320,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 22:59:47.0,2017-12-07 23:14:59.0,912,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 19:11:46.0,2017-12-08 19:49:49.0,2283,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 22:59:47.0,2017-12-08 23:15:00.0,913,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
