dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-11-21 19:04:10.0,2017-11-21 19:19:13.0,903,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 23:00:10.0,2017-11-22 23:15:16.0,906,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:10.0,2017-11-23 23:14:18.0,908,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 23:00:12.0,2017-11-24 23:15:21.0,909,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 23:00:16.0,2017-11-27 23:15:27.0,911,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 22:00:10.0,2017-11-29 22:15:31.0,921,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:56:10.0,2017-12-02 05:17:10.0,152460,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-02 05:17:10.0,2017-12-02 09:17:10.0,14400,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-04 22:00:10.0,2017-12-04 22:15:42.0,932,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 22:00:10.0,2017-12-05 22:15:44.0,934,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-06 22:00:11.0,2017-12-06 22:15:46.0,935,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 23:00:10.0,2017-12-07 23:15:48.0,938,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 23:00:11.0,2017-12-08 23:15:51.0,940,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 23:00:10.0,2017-12-09 23:15:53.0,943,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-10 23:00:11.0,2017-12-10 23:15:55.0,944,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-11 22:59:10.0,2017-12-11 23:14:57.0,947,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-13 23:00:10.0,2017-12-13 23:16:01.0,951,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-14 23:00:11.0,2017-12-14 23:16:03.0,952,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-15 22:59:10.0,2017-12-15 23:15:06.0,956,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-16 22:59:10.0,2017-12-16 23:15:08.0,958,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-17 22:59:10.0,2017-12-17 23:15:10.0,960,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-19 01:00:11.0,2017-12-19 01:16:12.0,961,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-20 01:00:11.0,2017-12-20 01:16:15.0,964,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-21 01:00:10.0,2017-12-21 01:16:17.0,967,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-22 00:59:10.0,2017-12-22 01:15:19.0,969,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-23 01:00:11.0,2017-12-23 01:16:21.0,970,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-24 00:59:11.0,2017-12-24 01:15:24.0,973,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
