dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-18 08:06:17.0,2017-09-18 08:19:11.0,774,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-24 14:54:01.0,2017-09-24 15:10:20.0,979,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-27 10:56:08.0,2017-09-27 13:41:50.0,9942,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 17:52:10.0,2017-09-28 18:09:10.0,1020,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 17:24:17.0,2017-10-03 20:21:21.0,183424,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:07:39.0,2017-10-12 21:22:00.0,861,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-20 04:04:54.0,2017-10-20 10:27:49.0,22975,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-21 22:14:58.0,2017-10-21 22:40:25.0,1527,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 15:37:10.0,2017-10-27 15:53:11.0,961,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 16:52:10.0,2017-10-27 17:26:31.0,2061,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-28 02:27:11.0,2017-10-28 13:38:12.0,40261,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:04:55.0,2017-11-21 19:19:59.0,904,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 22:59:55.0,2017-11-22 23:15:02.0,907,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:55.0,2017-11-23 23:15:04.0,909,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 22:58:55.0,2017-11-25 13:16:37.0,51462,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-25 13:34:55.0,2017-11-25 13:48:55.0,840,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-25 13:48:55.0,2017-11-25 14:04:50.0,955,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 23:00:00.0,2017-11-27 23:15:12.0,912,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 21:59:56.0,2017-11-29 22:15:17.0,921,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:55:56.0,2017-12-02 09:16:56.0,166860,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-04 21:59:55.0,2017-12-04 22:15:27.0,932,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 21:59:56.0,2017-12-05 22:15:29.0,933,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-06 21:59:56.0,2017-12-06 22:15:32.0,936,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 22:59:56.0,2017-12-07 23:15:34.0,938,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 22:59:56.0,2017-12-08 23:15:36.0,940,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 19:23:56.0,2017-12-09 20:08:20.0,2664,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 22:59:56.0,2017-12-09 23:15:38.0,942,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-10 22:59:55.0,2017-12-10 23:15:40.0,945,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-11 22:59:56.0,2017-12-11 23:15:42.0,946,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-13 22:59:56.0,2017-12-13 23:15:47.0,951,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-14 22:59:56.0,2017-12-14 23:15:49.0,953,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-15 22:59:56.0,2017-12-15 23:15:51.0,955,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-16 22:59:56.0,2017-12-16 23:15:53.0,957,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-17 22:59:56.0,2017-12-17 23:15:55.0,959,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-19 00:59:56.0,2017-12-19 01:15:58.0,962,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-20 00:59:56.0,2017-12-20 01:15:59.0,963,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-21 00:59:56.0,2017-12-21 01:16:02.0,966,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-22 00:59:56.0,2017-12-22 01:16:04.0,968,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-23 00:59:56.0,2017-12-23 01:16:06.0,970,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-24 00:59:56.0,2017-12-24 01:16:08.0,972,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-25 00:59:56.0,2017-12-25 01:16:10.0,974,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-26 00:59:56.0,2017-12-26 01:16:12.0,976,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-27 00:59:57.0,2017-12-27 01:16:15.0,978,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-28 00:59:56.0,2017-12-28 01:16:17.0,981,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-29 00:59:56.0,2017-12-29 01:16:19.0,983,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-30 00:59:57.0,2017-12-30 01:16:21.0,984,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-31 00:59:57.0,2017-12-31 01:16:23.0,986,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-01 00:59:57.0,2018-01-01 01:16:25.0,988,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-02 00:59:57.0,2018-01-02 01:16:27.0,990,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-03 00:59:57.0,2018-01-03 01:16:30.0,993,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
