dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-02-03 10:55:58.0,2018-02-03 11:13:38.0,1060,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-02-09 08:25:58.0,2018-02-09 08:57:56.0,1918,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-02-10 00:59:58.0,2018-02-10 01:17:51.0,1073,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-02-24 01:00:00.0,2018-02-24 01:18:22.0,1102,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-03-03 01:00:00.0,2018-03-03 01:18:37.0,1117,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-03-10 01:00:00.0,2018-03-10 01:18:53.0,1133,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-03-17 01:00:00.0,2018-03-17 01:19:08.0,1148,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-03-18 12:03:08.0,2018-03-18 12:36:08.0,1980,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-03-24 01:00:00.0,2018-03-24 01:19:24.0,1164,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-04-07 01:00:01.0,2018-04-07 01:19:53.0,1192,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-06-08 09:18:55.0,2018-06-11 18:03:55.0,290700,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-06-16 01:00:04.0,2018-06-16 01:22:25.0,1341,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-06-23 17:33:40.0,2018-06-23 17:52:40.0,1140,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-06-30 01:00:05.0,2018-06-30 01:22:55.0,1370,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-06-30 16:38:55.0,2018-06-30 18:03:55.0,5100,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-03 10:45:05.0,2018-07-03 10:49:50.0,285,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-03 13:18:05.0,2018-07-03 13:21:58.0,233,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-03 16:01:05.0,2018-07-03 16:04:39.0,214,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-03 16:09:05.0,2018-07-03 16:25:40.0,995,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-03 16:34:05.0,2018-07-03 16:39:58.0,353,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-04 09:06:05.0,2018-07-04 09:14:37.0,512,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-05 19:11:05.0,2018-07-05 19:14:05.0,180,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-07 01:00:05.0,2018-07-07 01:23:11.0,1386,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-12 16:55:11.0,2018-07-12 16:59:15.0,244,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-19 11:37:12.0,2018-07-19 11:42:38.0,326,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-22 03:27:12.0,2018-07-22 03:30:21.0,189,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
