dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-10-04 12:06:58.0,2017-10-04 17:04:58.0,17880,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-07 18:20:58.0,2017-10-07 19:24:58.0,3840,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-22 08:56:58.0,2017-10-22 09:55:11.0,3493,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-30 08:54:58.0,2017-10-30 09:49:26.0,3268,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-21 19:05:05.0,2017-11-21 19:20:09.0,904,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-22 23:00:05.0,2017-11-22 23:15:11.0,906,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-23 23:00:05.0,2017-11-23 23:15:13.0,908,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-24 23:00:08.0,2017-11-24 23:15:16.0,908,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-27 23:00:10.0,2017-11-27 23:15:22.0,912,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-29 22:00:05.0,2017-11-29 22:15:26.0,921,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-30 10:56:06.0,2017-11-30 11:26:59.0,1853,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-30 13:31:58.0,2017-11-30 13:49:03.0,1025,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-30 22:00:08.0,2017-11-30 22:14:40.0,872,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-01 21:59:58.0,2017-12-01 22:14:39.0,881,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-02 07:42:58.0,2017-12-02 18:10:00.0,37622,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-02 21:59:58.0,2017-12-02 22:14:44.0,886,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-03 21:59:58.0,2017-12-03 22:14:44.0,886,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-04 21:59:58.0,2017-12-04 22:14:53.0,895,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
