dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-18 08:06:05.0,2017-09-18 08:19:02.0,777,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-09-28 17:52:03.0,2017-09-28 18:08:10.0,967,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-02 05:46:35.0,2017-10-03 20:21:38.0,138903,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-12 21:08:03.0,2017-10-12 21:20:39.0,756,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-27 16:52:34.0,2017-10-27 17:22:30.0,1796,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-28 02:26:27.0,2017-10-28 13:38:15.0,40308,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 19:04:12.0,2017-11-21 19:19:16.0,904,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-22 22:59:12.0,2017-11-22 23:14:18.0,906,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-23 22:59:12.0,2017-11-23 23:14:20.0,908,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-24 23:00:18.0,2017-11-24 23:15:22.0,904,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-27 23:00:17.0,2017-11-27 23:15:29.0,912,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-29 22:00:12.0,2017-11-29 22:15:33.0,921,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:56:12.0,2017-12-02 05:17:12.0,152460,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-02 05:17:12.0,2017-12-02 09:17:13.0,14401,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-04 22:00:13.0,2017-12-04 22:15:44.0,931,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-05 22:00:12.0,2017-12-05 22:15:46.0,934,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-06 22:00:12.0,2017-12-06 22:15:48.0,936,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-07 23:00:12.0,2017-12-07 23:15:50.0,938,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-08 23:00:12.0,2017-12-08 23:15:53.0,941,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 19:07:12.0,2017-12-09 19:20:12.0,780,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 19:35:12.0,2017-12-09 20:07:41.0,1949,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-09 22:59:13.0,2017-12-09 23:14:54.0,941,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-10 23:00:12.0,2017-12-10 23:15:57.0,945,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-11 22:59:13.0,2017-12-11 23:14:59.0,946,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-13 23:00:12.0,2017-12-13 23:16:03.0,951,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-14 23:00:13.0,2017-12-14 23:16:06.0,953,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-15 22:59:13.0,2017-12-15 23:15:07.0,954,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-16 22:59:13.0,2017-12-16 23:15:09.0,956,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-17 22:59:12.0,2017-12-17 23:15:12.0,960,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-19 01:00:13.0,2017-12-19 01:16:14.0,961,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-20 01:00:12.0,2017-12-20 01:16:16.0,964,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-21 01:00:12.0,2017-12-21 01:16:19.0,967,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-22 00:59:13.0,2017-12-22 01:15:21.0,968,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-23 01:00:14.0,2017-12-23 01:16:23.0,969,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-24 00:59:13.0,2017-12-24 01:15:25.0,972,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-25 00:59:13.0,2017-12-25 01:15:27.0,974,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-26 01:00:13.0,2017-12-26 01:16:30.0,977,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-27 01:00:13.0,2017-12-27 01:16:32.0,979,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-28 00:59:13.0,2017-12-28 01:15:33.0,980,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-29 01:00:13.0,2017-12-29 01:16:36.0,983,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-30 01:00:14.0,2017-12-30 01:16:38.0,984,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-31 01:00:13.0,2017-12-31 01:16:40.0,987,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-01 01:00:13.0,2018-01-01 01:16:42.0,989,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-02 01:00:13.0,2018-01-02 01:16:44.0,991,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-03 01:00:13.0,2018-01-03 01:16:46.0,993,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-04 01:00:13.0,2018-01-04 01:16:49.0,996,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-05 00:59:13.0,2018-01-05 01:15:51.0,998,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-06 00:59:13.0,2018-01-06 01:15:52.0,999,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-07 01:00:13.0,2018-01-07 01:16:55.0,1002,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-08 00:47:13.0,2018-01-08 01:03:57.0,1004,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-09 01:00:13.0,2018-01-09 01:17:00.0,1007,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-10 00:59:13.0,2018-01-10 01:16:01.0,1008,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-11 01:00:14.0,2018-01-11 01:17:03.0,1009,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-12 02:00:14.0,2018-01-12 02:17:06.0,1012,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-13 02:00:14.0,2018-01-13 02:17:08.0,1014,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-14 02:00:14.0,2018-01-14 02:17:10.0,1016,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-15 01:59:13.0,2018-01-15 02:16:12.0,1019,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-16 01:59:13.0,2018-01-16 02:16:14.0,1021,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-17 01:59:14.0,2018-01-17 02:16:17.0,1023,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-18 02:00:14.0,2018-01-18 02:17:18.0,1024,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-19 01:59:14.0,2018-01-19 02:16:21.0,1027,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-20 01:59:14.0,2018-01-20 02:16:23.0,1029,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-21 02:00:14.0,2018-01-21 02:17:25.0,1031,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-22 02:00:14.0,2018-01-22 02:17:27.0,1033,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-23 02:00:14.0,2018-01-23 02:17:30.0,1036,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-24 02:59:14.0,2018-01-24 03:16:32.0,1038,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-25 03:00:14.0,2018-01-25 03:17:34.0,1040,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-27 02:59:14.0,2018-01-27 03:16:38.0,1044,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-28 08:01:14.0,2018-01-28 08:18:41.0,1047,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-01-29 11:25:14.0,2018-01-29 11:42:43.0,1049,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-02-01 07:01:14.0,2018-02-01 07:18:49.0,1055,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-02-03 10:56:14.0,2018-02-03 11:13:54.0,1060,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-02-10 01:00:14.0,2018-02-10 01:18:08.0,1074,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-02-24 01:00:15.0,2018-02-24 01:18:38.0,1103,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-03-03 00:59:15.0,2018-03-03 01:17:53.0,1118,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-03-10 00:59:16.0,2018-03-10 01:18:09.0,1133,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-03-17 00:59:16.0,2018-03-17 01:18:24.0,1148,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-03-19 19:12:16.0,2018-03-19 19:45:40.0,2004,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-03-24 01:00:16.0,2018-03-24 01:19:39.0,1163,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-04-07 00:59:17.0,2018-04-07 01:19:10.0,1193,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-06-16 00:59:20.0,2018-06-16 01:21:40.0,1340,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-06-23 17:33:56.0,2018-06-23 17:52:56.0,1140,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-06-30 00:59:20.0,2018-06-30 01:22:11.0,1371,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-06-30 16:39:11.0,2018-06-30 18:04:11.0,5100,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-05 19:10:21.0,2018-07-05 19:14:21.0,240,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-07 00:59:21.0,2018-07-07 01:22:26.0,1385,MSOMPPR_SWL3,ifOperStatus[Trunk Port ID 0002],
