dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-29 02:32:00.0,2017-10-06 11:28:16.0,636976,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-07 18:21:00.0,2017-10-07 19:24:09.0,3789,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-22 08:57:01.0,2017-10-22 09:54:45.0,3464,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-30 08:55:00.0,2017-10-30 09:49:27.0,3267,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-14 01:14:59.0,2017-11-14 01:19:13.0,254,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-14 04:23:59.0,2017-11-14 04:26:30.0,151,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-14 08:27:58.0,2017-11-14 08:31:11.0,193,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-15 23:42:02.0,2017-11-15 23:45:57.0,235,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 00:25:03.0,2017-11-16 00:30:03.0,300,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 02:16:02.0,2017-11-16 02:19:29.0,207,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 02:24:02.0,2017-11-16 02:26:42.0,160,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 03:05:02.0,2017-11-16 03:07:53.0,171,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-16 18:20:04.0,2017-11-16 18:32:00.0,716,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-20 17:48:07.0,2017-11-20 17:51:07.0,180,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-21 00:01:07.0,2017-11-21 00:04:49.0,222,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-21 00:07:07.0,2017-11-21 00:10:18.0,191,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-21 00:38:13.0,2017-11-21 00:41:56.0,223,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-21 02:16:07.0,2017-11-21 02:19:07.0,180,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-21 19:05:07.0,2017-11-21 19:20:11.0,904,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-22 23:00:07.0,2017-11-22 23:15:14.0,907,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-23 23:00:07.0,2017-11-23 23:15:16.0,909,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-24 23:00:11.0,2017-11-24 23:15:18.0,907,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-25 01:52:07.0,2017-11-25 01:54:46.0,159,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-27 21:13:12.0,2017-11-27 21:17:27.0,255,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-27 23:00:12.0,2017-11-27 23:15:24.0,912,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-29 22:00:08.0,2017-11-29 22:15:28.0,920,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-30 10:19:08.0,2017-11-30 10:21:48.0,160,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-30 10:23:08.0,2017-11-30 10:26:40.0,212,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-30 10:43:07.0,2017-11-30 10:46:11.0,184,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-30 10:56:07.0,2017-11-30 11:28:00.0,1913,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-30 22:00:00.0,2017-11-30 22:14:41.0,881,MSOMRCB_SWL3,ifOperStatus[Trunk Port ID 0003],
