dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-18 08:05:54.0,2017-09-18 08:18:54.0,780,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-09-28 17:52:16.0,2017-09-28 18:08:15.0,959,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-01 19:02:22.0,2017-10-01 19:15:23.0,781,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-02 05:47:23.0,2017-10-03 20:22:26.0,138903,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-12 21:07:44.0,2017-10-12 21:27:44.0,1200,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-20 04:04:59.0,2017-10-20 10:27:24.0,22945,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 15:37:16.0,2017-10-27 15:54:15.0,1019,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 16:52:15.0,2017-10-27 17:27:14.0,2099,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-27 17:31:15.0,2017-10-27 17:44:15.0,780,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-10-28 02:27:16.0,2017-10-28 13:38:17.0,40261,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-21 19:05:01.0,2017-11-21 19:20:04.0,903,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-22 23:00:01.0,2017-11-22 23:15:07.0,906,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-23 23:00:01.0,2017-11-23 23:15:09.0,908,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-24 22:59:01.0,2017-11-25 13:15:01.0,51360,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-27 23:00:06.0,2017-11-27 23:15:18.0,912,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-29 22:00:01.0,2017-11-29 22:15:22.0,921,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-11-30 10:56:01.0,2017-12-02 05:17:01.0,152460,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-02 05:17:01.0,2017-12-02 09:17:01.0,14400,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-04 22:00:01.0,2017-12-04 22:15:32.0,931,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-05 22:00:01.0,2017-12-05 22:15:35.0,934,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-06 22:00:01.0,2017-12-06 22:15:37.0,936,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-07 23:00:01.0,2017-12-07 23:15:39.0,938,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-08 23:00:02.0,2017-12-08 23:15:41.0,939,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-09 18:43:01.0,2017-12-09 18:56:02.0,781,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
2017-12-09 19:07:02.0,2017-12-09 19:20:01.0,779,MSRPAMB_SWL3,ifOperStatus[Trunk Port ID 0003],
