dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-28 17:52:07.0,2017-09-28 18:09:06.0,1019,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-02 05:47:13.0,2017-10-03 20:22:17.0,138904,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:07:34.0,2017-10-12 21:20:11.0,757,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 16:53:06.0,2017-10-27 17:29:02.0,2156,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 17:31:06.0,2017-10-27 17:43:47.0,761,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-28 02:27:07.0,2017-10-28 13:39:16.0,40329,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:04:51.0,2017-11-21 19:19:54.0,903,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 22:59:51.0,2017-11-22 23:14:58.0,907,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:51.0,2017-11-23 23:14:59.0,908,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 22:59:51.0,2017-11-24 23:15:02.0,911,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 22:59:57.0,2017-11-27 23:15:08.0,911,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 21:59:51.0,2017-11-29 22:15:12.0,921,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:55:51.0,2017-12-02 05:17:51.0,152520,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-02 05:17:51.0,2017-12-02 09:16:52.0,14341,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-04 21:59:52.0,2017-12-04 22:15:23.0,931,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 21:59:51.0,2017-12-05 22:15:25.0,934,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-06 21:59:51.0,2017-12-06 22:15:27.0,936,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 22:59:52.0,2017-12-07 23:15:29.0,937,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 22:59:51.0,2017-12-08 23:15:32.0,941,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 19:39:57.0,2017-12-09 20:07:31.0,1654,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 22:59:52.0,2017-12-09 23:15:34.0,942,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-10 22:59:52.0,2017-12-10 23:15:36.0,944,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-11 22:59:51.0,2017-12-11 23:15:38.0,947,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-13 22:59:52.0,2017-12-13 23:15:43.0,951,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-14 22:59:52.0,2017-12-14 23:15:44.0,952,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-15 22:59:52.0,2017-12-15 23:15:46.0,954,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-16 22:59:52.0,2017-12-16 23:15:49.0,957,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-17 22:59:52.0,2017-12-17 23:15:51.0,959,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-19 00:59:52.0,2017-12-19 01:15:53.0,961,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
