dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-28 17:52:10.0,2017-09-28 18:10:10.0,1080,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-02 05:47:18.0,2017-10-03 20:21:21.0,138843,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:07:39.0,2017-10-12 21:20:39.0,780,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 16:53:10.0,2017-10-27 17:27:10.0,2040,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-28 02:27:11.0,2017-10-28 13:39:15.0,40324,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:04:55.0,2017-11-21 19:19:59.0,904,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 22:59:55.0,2017-11-22 23:15:02.0,907,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:55.0,2017-11-23 23:15:04.0,909,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 22:59:57.0,2017-11-24 23:15:06.0,909,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 23:00:00.0,2017-11-27 23:15:12.0,912,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 21:59:56.0,2017-11-29 22:15:17.0,921,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:55:56.0,2017-12-02 09:16:56.0,166860,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-04 21:59:55.0,2017-12-04 22:15:27.0,932,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 21:59:56.0,2017-12-05 22:15:29.0,933,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-06 21:59:56.0,2017-12-06 22:15:32.0,936,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 22:59:56.0,2017-12-07 23:15:34.0,938,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 22:59:56.0,2017-12-08 23:15:36.0,940,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 19:23:56.0,2017-12-09 20:08:23.0,2667,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 22:59:56.0,2017-12-09 23:15:38.0,942,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-10 22:59:55.0,2017-12-10 23:15:40.0,945,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-11 22:59:56.0,2017-12-11 23:15:42.0,946,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-13 22:59:56.0,2017-12-13 23:15:47.0,951,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-14 22:59:56.0,2017-12-14 23:15:49.0,953,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-15 22:59:56.0,2017-12-15 23:15:51.0,955,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-16 22:59:56.0,2017-12-16 23:15:53.0,957,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-17 22:59:56.0,2017-12-17 23:15:55.0,959,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-19 00:59:56.0,2017-12-19 01:15:58.0,962,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-20 00:59:56.0,2017-12-20 01:15:59.0,963,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-21 00:59:56.0,2017-12-21 01:16:02.0,966,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-22 00:59:56.0,2017-12-22 01:16:03.0,967,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-23 00:59:57.0,2017-12-23 01:16:06.0,969,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-24 00:59:56.0,2017-12-24 01:16:08.0,972,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-25 00:59:56.0,2017-12-25 01:16:10.0,974,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-26 00:59:56.0,2017-12-26 01:16:12.0,976,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-27 00:59:57.0,2017-12-27 01:16:15.0,978,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-28 00:59:56.0,2017-12-28 01:16:16.0,980,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-29 00:59:56.0,2017-12-29 01:16:19.0,983,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-30 00:59:56.0,2017-12-30 01:16:21.0,985,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-31 00:59:57.0,2017-12-31 01:16:23.0,986,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-01 00:59:57.0,2018-01-01 01:16:25.0,988,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-02 00:59:57.0,2018-01-02 01:16:27.0,990,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-03 00:59:57.0,2018-01-03 01:16:30.0,993,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-04 00:59:57.0,2018-01-04 01:16:32.0,995,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-05 00:59:57.0,2018-01-05 01:16:34.0,997,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-06 00:59:57.0,2018-01-06 01:16:36.0,999,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-07 00:59:57.0,2018-01-07 01:16:38.0,1001,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-08 00:47:57.0,2018-01-08 01:04:40.0,1003,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-09 00:59:57.0,2018-01-09 01:16:42.0,1005,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-10 00:59:57.0,2018-01-10 01:16:45.0,1008,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-11 00:59:57.0,2018-01-11 01:16:46.0,1009,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-12 01:59:57.0,2018-01-12 02:16:49.0,1012,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-13 01:59:57.0,2018-01-13 02:16:51.0,1014,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-14 01:59:57.0,2018-01-14 02:16:53.0,1016,MSRPAMO_SWL3,ifOperStatus[Trunk Port ID 0001],
