dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-10-02 05:46:31.0,2017-10-02 05:49:57.0,206,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-16 18:20:06.0,2017-11-16 18:32:02.0,716,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-20 17:48:09.0,2017-11-20 17:51:09.0,180,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 19:04:09.0,2017-11-21 19:19:13.0,904,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-22 23:00:09.0,2017-11-22 23:15:15.0,906,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-23 23:00:09.0,2017-11-23 23:15:17.0,908,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-24 23:00:11.0,2017-11-24 23:15:19.0,908,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-27 23:00:14.0,2017-11-27 23:15:26.0,912,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-29 22:00:09.0,2017-11-29 22:15:30.0,921,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:56:09.0,2017-12-02 05:17:09.0,152460,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-02 05:17:09.0,2017-12-02 09:17:09.0,14400,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-04 22:00:09.0,2017-12-04 22:15:41.0,932,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-05 22:00:10.0,2017-12-05 22:15:43.0,933,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-06 22:00:09.0,2017-12-06 22:15:45.0,936,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-07 23:00:10.0,2017-12-07 23:15:47.0,937,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0002],
