dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-10-04 12:06:48.0,2017-10-04 17:04:48.0,17880,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-07 18:20:48.0,2017-10-07 19:24:20.0,3812,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 08:57:48.0,2017-10-22 09:54:21.0,3393,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-30 08:54:48.0,2017-10-30 09:49:15.0,3267,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:04:55.0,2017-11-21 19:19:59.0,904,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 22:59:55.0,2017-11-22 23:15:02.0,907,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:55.0,2017-11-23 23:15:04.0,909,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 23:00:03.0,2017-11-24 23:15:06.0,903,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 23:00:00.0,2017-11-27 23:15:12.0,912,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 21:59:56.0,2017-11-29 22:15:17.0,921,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:55:56.0,2017-11-30 11:24:57.0,1741,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 21:59:48.0,2017-11-30 22:14:38.0,890,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-01 21:59:48.0,2017-12-01 22:14:37.0,889,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-02 07:42:48.0,2017-12-02 18:09:58.0,37630,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-02 21:59:48.0,2017-12-02 22:14:40.0,892,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-03 21:59:48.0,2017-12-03 22:14:40.0,892,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-04 21:59:48.0,2017-12-04 22:14:52.0,904,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 17:47:48.0,2017-12-05 18:02:31.0,883,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 21:59:48.0,2017-12-05 22:14:52.0,904,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-06 21:59:48.0,2017-12-06 22:14:54.0,906,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 22:25:48.0,2017-12-07 22:48:47.0,1379,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 22:59:48.0,2017-12-07 23:14:59.0,911,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 19:11:48.0,2017-12-08 19:49:33.0,2265,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 22:59:48.0,2017-12-08 23:15:00.0,912,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 22:59:48.0,2017-12-09 23:15:02.0,914,MSRPFDI_SWL3,ifOperStatus[Trunk Port ID 0001],
