dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-02-03 10:55:40.0,2018-02-03 11:13:19.0,1059,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-05 16:40:39.0,2018-02-05 19:39:40.0,10741,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-09 07:38:39.0,2018-02-09 07:45:39.0,420,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-10 00:59:39.0,2018-02-10 01:17:32.0,1073,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-24 00:59:37.0,2018-02-24 01:18:00.0,1103,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-03 00:59:37.0,2018-03-03 01:18:15.0,1118,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-10 00:59:36.0,2018-03-10 01:18:30.0,1134,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-17 00:59:36.0,2018-03-17 01:18:44.0,1148,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-17 12:06:45.0,2018-03-17 12:16:20.0,575,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-17 12:24:44.0,2018-03-17 13:08:04.0,2600,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-19 09:53:44.0,2018-03-19 10:01:52.0,488,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-19 10:01:52.0,2018-03-20 14:58:37.0,104205,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-24 00:59:35.0,2018-03-24 01:18:58.0,1163,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-04-07 00:59:34.0,2018-04-07 01:19:27.0,1193,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-04-09 02:44:27.0,2018-04-09 02:49:27.0,300,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-04-19 18:57:42.0,2018-04-19 19:00:15.0,153,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-04-19 22:05:41.0,2018-04-19 22:08:41.0,180,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-04-19 22:15:42.0,2018-04-19 22:19:26.0,224,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-04-19 22:28:41.0,2018-04-19 22:31:42.0,181,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-04-19 22:42:41.0,2018-04-19 22:45:12.0,151,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-04-21 05:22:57.0,2018-04-21 05:30:56.0,479,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-04-25 09:00:56.0,2018-04-25 09:10:56.0,600,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-05-02 07:41:11.0,2018-05-02 07:51:11.0,600,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-05-04 15:42:11.0,2018-05-06 20:33:25.0,190274,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-05-10 21:53:26.0,2018-05-11 13:06:25.0,54779,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-08 12:23:21.0,2018-06-11 19:33:35.0,285014,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-14 19:14:29.0,2018-06-14 19:23:29.0,540,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-14 20:34:29.0,2018-06-14 20:43:29.0,540,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-16 00:59:28.0,2018-06-16 01:21:50.0,1342,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-23 17:34:04.0,2018-06-23 17:53:04.0,1140,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-30 00:59:27.0,2018-06-30 01:22:18.0,1371,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-30 16:39:18.0,2018-06-30 18:04:18.0,5100,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-07 00:59:27.0,2018-07-07 01:22:32.0,1385,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-09 09:38:37.0,2018-07-09 09:41:32.0,175,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-09 09:46:59.0,2018-07-09 09:55:37.0,518,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-22 03:16:32.0,2018-07-22 03:22:32.0,360,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-30 09:37:32.0,2018-07-30 09:42:32.0,300,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0001],
