dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-11-21 19:04:57.0,2017-11-21 19:20:01.0,904,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 22:59:57.0,2017-11-22 23:15:03.0,906,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:57.0,2017-11-23 23:15:06.0,909,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 23:00:06.0,2017-11-24 23:15:07.0,901,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 23:00:02.0,2017-11-27 23:15:14.0,912,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 21:59:57.0,2017-11-29 22:15:18.0,921,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:55:58.0,2017-11-30 11:22:55.0,1617,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 21:59:50.0,2017-11-30 22:14:38.0,888,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-01 21:59:50.0,2017-12-01 22:14:37.0,887,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-02 21:59:50.0,2017-12-02 22:14:40.0,890,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-03 21:59:50.0,2017-12-03 22:14:41.0,891,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-04 21:59:51.0,2017-12-04 22:14:52.0,901,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 08:13:50.0,2017-12-05 08:26:53.0,783,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 17:47:50.0,2017-12-05 18:02:25.0,875,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 21:59:50.0,2017-12-05 22:14:52.0,902,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-06 21:59:50.0,2017-12-06 22:14:54.0,904,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 22:25:50.0,2017-12-07 22:48:28.0,1358,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 22:59:50.0,2017-12-07 23:14:59.0,909,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 19:11:50.0,2017-12-08 19:49:40.0,2270,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 22:59:50.0,2017-12-08 23:15:01.0,911,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 22:59:50.0,2017-12-09 23:15:02.0,912,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-10 22:59:51.0,2017-12-10 23:15:07.0,916,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-11 22:59:50.0,2017-12-11 23:15:00.0,910,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-12 22:59:50.0,2017-12-12 23:15:05.0,915,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-13 22:59:50.0,2017-12-13 23:15:15.0,925,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-14 22:59:50.0,2017-12-14 23:15:16.0,926,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-15 22:59:50.0,2017-12-15 23:15:07.0,917,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-16 22:59:50.0,2017-12-16 23:15:11.0,921,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-17 22:59:50.0,2017-12-17 23:15:14.0,924,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-19 00:59:50.0,2017-12-19 01:15:39.0,949,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-20 00:59:50.0,2017-12-20 01:15:30.0,940,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-21 00:59:50.0,2017-12-21 01:15:31.0,941,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-22 00:59:50.0,2017-12-22 01:15:29.0,939,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-22 09:18:50.0,2017-12-22 09:56:09.0,2239,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-23 00:59:50.0,2017-12-23 01:15:34.0,944,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-24 00:59:50.0,2017-12-24 01:15:27.0,937,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-25 00:59:50.0,2017-12-25 01:15:32.0,942,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-25 12:47:50.0,2017-12-25 13:46:58.0,3548,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-26 00:59:58.0,2017-12-26 01:16:15.0,977,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-27 00:59:58.0,2017-12-27 01:16:16.0,978,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-28 00:59:58.0,2017-12-28 01:16:18.0,980,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-29 00:59:58.0,2017-12-29 01:16:21.0,983,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-30 00:59:58.0,2017-12-30 01:16:23.0,985,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-31 00:59:58.0,2017-12-31 01:16:25.0,987,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-01 00:59:59.0,2018-01-01 01:16:28.0,989,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-02 00:59:58.0,2018-01-02 01:16:29.0,991,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-03 00:59:58.0,2018-01-03 01:16:32.0,994,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-03 12:09:58.0,2018-01-03 19:36:58.0,26820,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-04 00:59:58.0,2018-01-04 01:16:34.0,996,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-05 00:59:58.0,2018-01-05 01:16:36.0,998,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-06 00:59:58.0,2018-01-06 01:16:38.0,1000,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-07 00:59:58.0,2018-01-07 01:16:40.0,1002,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-08 00:46:59.0,2018-01-08 01:03:42.0,1003,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-09 00:59:59.0,2018-01-09 01:16:44.0,1005,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-10 00:59:58.0,2018-01-10 01:16:46.0,1008,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-11 00:59:59.0,2018-01-11 01:16:49.0,1010,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-12 01:59:59.0,2018-01-12 02:16:51.0,1012,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-13 01:59:59.0,2018-01-13 02:16:53.0,1014,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-14 01:59:59.0,2018-01-14 02:16:55.0,1016,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-15 01:59:59.0,2018-01-15 02:16:58.0,1019,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-16 01:59:59.0,2018-01-16 02:16:59.0,1020,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-17 01:59:59.0,2018-01-17 02:17:01.0,1022,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-18 01:59:59.0,2018-01-18 02:17:03.0,1024,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-19 01:59:59.0,2018-01-19 02:17:06.0,1027,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-20 01:58:59.0,2018-01-20 02:16:08.0,1029,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-21 01:59:59.0,2018-01-21 02:17:10.0,1031,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-22 01:59:59.0,2018-01-22 02:17:12.0,1033,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-23 01:59:59.0,2018-01-23 02:17:14.0,1035,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-24 02:59:59.0,2018-01-24 03:17:16.0,1037,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-25 02:59:59.0,2018-01-25 03:17:18.0,1039,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-27 02:59:59.0,2018-01-27 03:17:23.0,1044,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-28 08:00:59.0,2018-01-28 08:18:26.0,1047,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-29 11:24:59.0,2018-01-29 11:42:28.0,1049,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-01 07:02:00.0,2018-02-01 07:19:34.0,1054,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-03 10:56:00.0,2018-02-03 11:13:39.0,1059,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-09 08:26:00.0,2018-02-09 08:59:10.0,1990,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-10 01:00:00.0,2018-02-10 01:17:53.0,1073,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-24 01:00:00.0,2018-02-24 01:18:23.0,1103,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-03 01:00:01.0,2018-03-03 01:18:38.0,1117,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-10 01:00:01.0,2018-03-10 01:18:54.0,1133,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-17 01:00:01.0,2018-03-17 01:19:10.0,1149,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-24 01:00:01.0,2018-03-24 01:19:25.0,1164,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-04-07 01:00:02.0,2018-04-07 01:19:55.0,1193,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-16 01:00:05.0,2018-06-16 01:22:26.0,1341,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-23 17:33:41.0,2018-06-23 17:52:41.0,1140,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-30 01:00:05.0,2018-06-30 01:22:56.0,1371,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-30 16:38:56.0,2018-06-30 18:03:56.0,5100,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-05 19:11:06.0,2018-07-05 19:14:06.0,180,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-07 01:00:06.0,2018-07-07 01:23:12.0,1386,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
