dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-11-27 21:14:31.0,2017-11-27 21:15:26.0,55,,4,1
2018-01-03 12:11:22.0,2018-01-03 19:35:23.0,26641,,4,1
2018-01-23 14:41:23.0,2018-01-23 14:42:31.0,68,,4,1
2018-02-19 10:13:32.0,2018-02-19 10:14:49.0,77,,4,1
2018-03-09 17:46:25.0,2018-03-09 17:47:58.0,93,,4,1
2018-04-05 04:37:26.0,2018-04-05 04:38:26.0,60,,4,1
2018-05-19 03:09:50.0,2018-05-19 03:11:51.0,121,,4,1
2018-05-19 03:21:04.0,2018-05-19 03:21:51.0,47,,4,1
2018-05-19 09:41:05.0,2018-05-19 09:41:51.0,46,,4,1
2018-05-19 10:12:51.0,2018-05-19 10:14:14.0,83,,4,1
