dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-10-04 12:06:57.0,2017-10-04 17:04:56.0,17879,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-07 18:20:56.0,2017-10-07 19:24:35.0,3819,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-22 08:56:56.0,2017-10-22 09:54:09.0,3433,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-10-30 08:54:56.0,2017-10-30 09:49:23.0,3267,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-21 19:05:03.0,2017-11-21 19:20:07.0,904,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-22 23:00:03.0,2017-11-22 23:15:09.0,906,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-23 23:00:04.0,2017-11-23 23:15:12.0,908,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-24 23:00:07.0,2017-11-24 23:15:14.0,907,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-27 23:00:08.0,2017-11-27 23:15:20.0,912,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-29 22:00:04.0,2017-11-29 22:15:32.0,928,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 10:56:04.0,2017-11-30 11:25:58.0,1794,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 13:32:56.0,2017-11-30 13:49:06.0,970,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-11-30 21:59:56.0,2017-11-30 22:14:39.0,883,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-01 21:59:56.0,2017-12-01 22:14:38.0,882,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-02 07:42:56.0,2017-12-02 18:09:56.0,37620,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-02 22:00:06.0,2017-12-02 22:14:42.0,876,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-03 21:59:56.0,2017-12-03 22:14:42.0,886,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-04 21:59:56.0,2017-12-04 22:14:53.0,897,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-05 08:12:56.0,2017-12-05 08:26:15.0,799,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
2017-12-05 17:47:56.0,2017-12-05 18:02:50.0,894,MSRPNOQ_SWL3,ifOperStatus[Trunk Port ID 0002],
