dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-10-04 12:06:44.0,2017-10-04 17:04:44.0,17880,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-07 18:20:44.0,2017-10-07 19:25:00.0,3856,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 08:57:44.0,2017-10-22 09:54:16.0,3392,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-30 08:55:44.0,2017-10-30 09:49:12.0,3208,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:04:51.0,2017-11-21 19:19:55.0,904,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 22:59:51.0,2017-11-22 23:14:58.0,907,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:51.0,2017-11-23 23:15:00.0,909,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 22:59:54.0,2017-11-24 23:15:02.0,908,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 22:59:57.0,2017-11-27 23:15:08.0,911,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 21:59:52.0,2017-11-29 22:15:12.0,920,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:55:52.0,2017-11-30 11:28:00.0,1928,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 21:59:44.0,2017-11-30 22:14:37.0,893,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-01 21:59:44.0,2017-12-01 22:14:36.0,892,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-02 07:42:44.0,2017-12-02 18:09:50.0,37626,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-02 21:59:44.0,2017-12-02 22:14:40.0,896,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-03 21:59:44.0,2017-12-03 22:14:39.0,895,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-04 21:59:44.0,2017-12-04 22:14:52.0,908,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 17:47:44.0,2017-12-05 18:02:26.0,882,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 21:59:44.0,2017-12-05 22:14:51.0,907,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-06 21:59:45.0,2017-12-06 22:14:54.0,909,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 22:25:44.0,2017-12-07 22:48:29.0,1365,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 22:59:44.0,2017-12-07 23:14:59.0,915,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 19:11:44.0,2017-12-08 19:49:56.0,2292,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 22:59:44.0,2017-12-08 23:15:00.0,916,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 22:59:44.0,2017-12-09 23:15:01.0,917,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-10 22:59:44.0,2017-12-10 23:15:06.0,922,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-11 22:59:44.0,2017-12-11 23:14:59.0,915,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-12 22:59:44.0,2017-12-12 23:15:05.0,921,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-13 22:59:44.0,2017-12-13 23:15:14.0,930,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-14 22:59:44.0,2017-12-14 23:15:16.0,932,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-15 15:35:44.0,2017-12-15 16:01:36.0,1552,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-15 16:19:44.0,2017-12-15 16:51:43.0,1919,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-15 17:12:24.0,2017-12-15 19:55:01.0,9757,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-15 22:59:44.0,2017-12-15 23:15:06.0,922,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-16 22:59:44.0,2017-12-16 23:15:11.0,927,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-17 22:59:44.0,2017-12-17 23:15:13.0,929,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-18 18:06:47.0,2017-12-18 18:22:33.0,946,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-19 00:59:44.0,2017-12-19 01:15:38.0,954,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-20 00:59:44.0,2017-12-20 01:15:29.0,945,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-21 00:59:44.0,2017-12-21 01:15:31.0,947,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-22 00:59:44.0,2017-12-22 01:15:28.0,944,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-22 09:18:44.0,2017-12-22 09:55:59.0,2235,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-23 00:59:45.0,2017-12-23 01:15:34.0,949,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-24 00:59:44.0,2017-12-24 01:15:26.0,942,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-25 00:59:44.0,2017-12-25 01:15:31.0,947,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-25 09:09:44.0,2017-12-25 09:22:44.0,780,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-25 12:52:44.0,2017-12-25 13:46:52.0,3248,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-26 00:59:53.0,2017-12-26 01:16:09.0,976,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-27 00:59:53.0,2017-12-27 01:16:10.0,977,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-28 00:59:52.0,2017-12-28 01:16:13.0,981,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-29 00:59:52.0,2017-12-29 01:16:15.0,983,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-30 00:59:52.0,2017-12-30 01:16:17.0,985,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-31 00:59:53.0,2017-12-31 01:16:19.0,986,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-01 00:59:53.0,2018-01-01 01:16:22.0,989,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-02 00:59:53.0,2018-01-02 01:16:24.0,991,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-03 00:59:53.0,2018-01-03 01:16:26.0,993,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-03 12:09:53.0,2018-01-03 13:10:18.0,3625,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-04 00:59:53.0,2018-01-04 01:16:28.0,995,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-05 00:59:53.0,2018-01-05 01:16:30.0,997,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-06 00:59:53.0,2018-01-06 01:16:32.0,999,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-07 00:59:53.0,2018-01-07 01:16:34.0,1001,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-08 00:47:53.0,2018-01-08 01:04:37.0,1004,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-09 00:59:53.0,2018-01-09 01:16:38.0,1005,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-10 00:59:53.0,2018-01-10 01:16:40.0,1007,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-11 00:59:53.0,2018-01-11 01:16:43.0,1010,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-12 01:59:53.0,2018-01-12 02:16:45.0,1012,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-13 01:59:53.0,2018-01-13 02:16:47.0,1014,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-14 01:59:53.0,2018-01-14 02:16:49.0,1016,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-15 01:59:53.0,2018-01-15 02:16:52.0,1019,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-16 01:59:53.0,2018-01-16 02:16:53.0,1020,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-17 01:59:53.0,2018-01-17 02:16:57.0,1024,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-18 01:59:54.0,2018-01-18 02:16:58.0,1024,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-19 01:59:53.0,2018-01-19 02:17:00.0,1027,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-20 01:58:53.0,2018-01-20 02:16:10.0,1037,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-21 01:59:53.0,2018-01-21 02:17:05.0,1032,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-22 01:59:53.0,2018-01-22 02:17:07.0,1034,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-23 01:59:54.0,2018-01-23 02:17:08.0,1034,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-24 02:59:53.0,2018-01-24 03:17:11.0,1038,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-25 02:59:54.0,2018-01-25 03:17:13.0,1039,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-27 02:59:54.0,2018-01-27 03:17:17.0,1043,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-28 08:00:54.0,2018-01-28 08:18:20.0,1046,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-01-29 11:24:54.0,2018-01-29 11:42:22.0,1048,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-01 07:01:54.0,2018-02-01 07:19:28.0,1054,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-03 10:55:53.0,2018-02-03 11:13:33.0,1060,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-09 08:25:53.0,2018-02-09 08:58:00.0,1927,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-10 00:59:54.0,2018-02-10 01:17:47.0,1073,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-02-24 00:59:55.0,2018-02-24 01:18:17.0,1102,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-03 00:59:55.0,2018-03-03 01:18:32.0,1117,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-10 00:59:55.0,2018-03-10 01:18:48.0,1133,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-17 00:59:55.0,2018-03-17 01:19:03.0,1148,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-03-24 00:59:55.0,2018-03-24 01:19:18.0,1163,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-04-07 00:59:56.0,2018-04-07 01:19:49.0,1193,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-16 01:00:00.0,2018-06-16 01:22:20.0,1340,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-23 17:33:36.0,2018-06-23 17:52:35.0,1139,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-30 01:00:00.0,2018-06-30 01:22:50.0,1370,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-30 16:38:51.0,2018-06-30 18:03:51.0,5100,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-05 19:11:00.0,2018-07-05 19:14:00.0,180,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-07 01:00:01.0,2018-07-07 01:23:06.0,1385,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-12 16:55:06.0,2018-07-12 17:00:20.0,314,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-13 15:04:23.0,2018-07-13 15:09:20.0,297,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-13 18:41:06.0,2018-07-13 18:45:11.0,245,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-22 03:27:07.0,2018-07-22 03:30:04.0,177,MSRPNVL_SWL3,ifOperStatus[Trunk Port ID 0001],
