dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-28 17:52:01.0,2017-09-28 18:08:55.0,1014,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-02 05:46:33.0,2017-10-03 20:21:37.0,138904,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-12 21:07:54.0,2017-10-12 21:20:30.0,756,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 16:52:26.0,2017-10-27 17:27:18.0,2092,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-28 02:26:27.0,2017-10-28 13:38:27.0,40320,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:04:11.0,2017-11-21 19:19:15.0,904,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 22:59:11.0,2017-11-22 23:14:18.0,907,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 22:59:11.0,2017-11-23 23:14:20.0,909,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 23:00:13.0,2017-11-24 23:15:22.0,909,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 23:00:16.0,2017-11-27 23:15:28.0,912,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 22:00:12.0,2017-11-29 22:15:32.0,920,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-30 10:56:11.0,2017-12-02 05:17:11.0,152460,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-02 05:17:11.0,2017-12-02 09:17:12.0,14401,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-04 22:00:11.0,2017-12-04 22:15:43.0,932,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-05 22:00:12.0,2017-12-05 22:15:45.0,933,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-06 22:00:11.0,2017-12-06 22:15:47.0,936,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-07 23:00:12.0,2017-12-07 23:15:49.0,937,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-08 23:00:11.0,2017-12-08 23:15:52.0,941,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 19:35:06.0,2017-12-09 20:04:50.0,1784,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-12-09 22:59:12.0,2017-12-09 23:14:54.0,942,MSRPPPR_SWL3,ifOperStatus[Trunk Port ID 0001],
