dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-29 16:56:59.0,2017-09-29 17:00:08.0,189,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 19:36:54.0,2017-10-01 19:40:00.0,186,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-03 17:16:54.0,2017-10-03 17:25:54.0,540,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-04 12:06:54.0,2017-10-04 17:04:54.0,17880,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-07 18:20:54.0,2017-10-07 19:24:57.0,3843,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 05:40:43.0,2017-10-22 05:47:11.0,388,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-22 08:56:54.0,2017-10-22 09:54:08.0,3434,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 19:51:54.0,2017-10-27 19:55:29.0,215,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 19:57:54.0,2017-10-27 20:08:54.0,660,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 20:13:54.0,2017-10-27 20:18:39.0,285,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 20:27:54.0,2017-10-27 20:30:54.0,180,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 20:32:54.0,2017-10-27 20:35:48.0,174,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 20:40:50.0,2017-10-27 20:49:54.0,544,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-30 08:54:54.0,2017-10-30 09:49:22.0,3268,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 01:14:52.0,2017-11-14 01:19:20.0,268,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 03:12:52.0,2017-11-14 03:17:56.0,304,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 04:23:52.0,2017-11-14 04:26:30.0,158,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-14 08:28:01.0,2017-11-14 08:30:36.0,155,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-15 23:42:56.0,2017-11-15 23:46:56.0,240,MSRPSPE_SWL3,ifOperStatus[Trunk Port ID 0001],
