dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2017-09-18 08:03:00.0,2017-09-18 08:19:10.0,970,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-24 14:53:13.0,2017-09-24 15:11:11.0,1078,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-27 10:56:20.0,2017-09-27 13:42:15.0,9955,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-09-28 17:52:06.0,2017-09-28 18:09:06.0,1020,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-01 17:23:28.0,2017-10-03 20:21:33.0,183485,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-20 04:05:06.0,2017-10-20 10:27:28.0,22942,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 15:37:22.0,2017-10-27 15:55:25.0,1083,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 16:52:22.0,2017-10-27 17:22:34.0,1812,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-27 17:31:21.0,2017-10-27 17:44:24.0,783,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-10-28 02:27:23.0,2017-10-28 13:38:23.0,40260,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-21 19:05:07.0,2017-11-21 19:20:11.0,904,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-22 23:00:07.0,2017-11-22 23:15:14.0,907,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-23 23:00:07.0,2017-11-23 23:15:15.0,908,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-24 22:59:07.0,2017-11-25 13:26:29.0,52042,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-25 13:31:07.0,2017-11-25 14:13:41.0,2554,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-27 23:00:13.0,2017-11-27 23:15:24.0,911,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2017-11-29 22:00:07.0,2017-11-29 22:15:28.0,921,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
