dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-10-27 20:41:48.0,2017-10-27 20:43:48.0,120,,4,1
2017-10-27 20:44:48.0,2017-10-27 20:48:48.0,240,,4,1
2017-11-30 13:33:48.0,2017-11-30 13:34:48.0,60,,4,1
2017-11-30 13:35:48.0,2017-11-30 13:48:48.0,780,,4,1
2017-12-11 07:41:48.0,2017-12-11 07:42:48.0,60,,4,1
2018-01-03 06:25:57.0,2018-01-03 06:28:57.0,180,,4,1
2018-01-03 06:29:57.0,2018-01-03 06:36:56.0,419,,4,1
2018-01-03 06:54:57.0,2018-01-03 06:55:57.0,60,,4,1
2018-01-03 07:09:57.0,2018-01-03 07:10:57.0,60,,4,1
2018-01-03 07:13:57.0,2018-01-03 07:14:56.0,59,,4,1
2018-01-03 07:52:57.0,2018-01-03 07:53:57.0,60,,4,1
2018-01-03 20:56:57.0,2018-01-03 20:58:57.0,120,,4,1
2018-01-03 20:59:56.0,2018-01-03 21:00:56.0,60,,4,1
2018-01-03 21:17:56.0,2018-01-03 21:18:57.0,61,,4,1
2018-01-03 21:19:57.0,2018-01-03 21:20:57.0,60,,4,1
2018-01-03 21:25:56.0,2018-01-03 21:28:05.0,129,,4,1
2018-01-06 06:43:57.0,2018-01-06 06:44:57.0,60,,4,1
2018-01-06 20:06:57.0,2018-01-07 16:31:57.0,73500,,4,1
2018-01-07 18:12:02.0,2018-01-07 18:14:56.0,174,,4,1
2018-01-07 18:26:56.0,2018-01-07 18:27:57.0,61,,4,1
2018-01-07 23:29:57.0,2018-01-07 23:30:57.0,60,,4,1
2018-01-08 00:45:57.0,2018-01-08 00:47:57.0,120,,4,1
2018-01-08 02:06:40.0,2018-01-08 02:07:40.0,60,,4,1
2018-01-08 04:48:57.0,2018-01-08 04:49:57.0,60,,4,1
2018-01-08 04:51:57.0,2018-01-08 04:52:57.0,60,,4,1
2018-01-08 04:54:57.0,2018-01-08 04:55:57.0,60,,4,1
2018-01-08 04:56:57.0,2018-01-08 04:57:57.0,60,,4,1
2018-01-08 05:06:57.0,2018-01-08 05:07:57.0,60,,4,1
2018-01-08 05:52:57.0,2018-01-08 05:53:57.0,60,,4,1
2018-01-08 06:01:57.0,2018-01-08 06:02:56.0,59,,4,1
2018-01-08 06:06:58.0,2018-01-08 06:07:57.0,59,,4,1
2018-01-08 09:19:57.0,2018-01-08 09:20:56.0,59,,4,1
2018-01-08 10:20:56.0,2018-01-08 10:22:01.0,65,,4,1
2018-01-08 10:22:57.0,2018-01-08 10:23:57.0,60,,4,1
2018-01-08 10:24:56.0,2018-01-08 10:25:57.0,61,,4,1
2018-01-08 10:27:04.0,2018-01-08 10:27:57.0,53,,4,1
2018-01-08 10:28:56.0,2018-01-08 10:29:57.0,61,,4,1
2018-01-08 10:30:57.0,2018-01-08 10:34:57.0,240,,4,1
2018-01-08 10:39:57.0,2018-01-08 10:40:57.0,60,,4,1
2018-01-08 10:42:56.0,2018-01-08 10:44:57.0,121,,4,1
2018-01-08 14:44:57.0,2018-01-08 14:45:57.0,60,,4,1
2018-01-08 14:46:57.0,2018-01-08 14:47:57.0,60,,4,1
2018-01-08 14:48:57.0,2018-01-08 14:49:57.0,60,,4,1
2018-01-08 14:54:57.0,2018-01-08 14:55:57.0,60,,4,1
2018-01-08 16:58:57.0,2018-01-08 16:59:57.0,60,,4,1
2018-01-08 17:44:57.0,2018-01-08 17:45:57.0,60,,4,1
2018-01-08 20:29:57.0,2018-01-08 20:32:57.0,180,,4,1
2018-01-08 22:17:57.0,2018-01-08 22:18:58.0,61,,4,1
2018-01-09 03:15:43.0,2018-01-09 03:16:42.0,59,,4,1
2018-01-09 03:16:57.0,2018-01-09 03:17:57.0,60,,4,1
2018-01-09 03:19:57.0,2018-01-09 03:21:43.0,106,,4,1
2018-01-09 03:23:57.0,2018-01-09 03:24:43.0,46,,4,1
2018-01-09 03:26:43.0,2018-01-09 03:26:57.0,14,,4,1
2018-01-09 03:27:42.0,2018-01-09 03:27:57.0,15,,4,1
2018-01-09 03:28:42.0,2018-01-09 03:28:57.0,15,,4,1
2018-01-09 03:41:57.0,2018-01-09 03:43:57.0,120,,4,1
2018-01-09 03:49:57.0,2018-01-09 03:50:57.0,60,,4,1
2018-01-09 03:53:57.0,2018-01-09 03:54:57.0,60,,4,1
2018-01-09 03:59:57.0,2018-01-09 04:00:57.0,60,,4,1
2018-01-09 04:01:57.0,2018-01-09 04:02:57.0,60,,4,1
2018-01-09 04:07:57.0,2018-01-09 04:08:57.0,60,,4,1
2018-01-09 04:14:57.0,2018-01-09 04:15:57.0,60,,4,1
2018-01-09 04:19:57.0,2018-01-09 04:20:57.0,60,,4,1
2018-01-09 04:25:57.0,2018-01-09 04:26:57.0,60,,4,1
2018-01-09 04:29:57.0,2018-01-09 04:30:57.0,60,,4,1
2018-01-09 04:36:57.0,2018-01-09 04:38:57.0,120,,4,1
2018-01-09 04:44:57.0,2018-01-09 04:47:57.0,180,,4,1
2018-01-09 04:48:57.0,2018-01-09 04:49:57.0,60,,4,1
2018-01-09 04:54:57.0,2018-01-09 04:56:57.0,120,,4,1
2018-01-09 04:57:57.0,2018-01-09 04:58:57.0,60,,4,1
2018-01-09 05:00:57.0,2018-01-09 05:02:57.0,120,,4,1
2018-01-09 05:04:57.0,2018-01-09 05:07:57.0,180,,4,1
2018-01-09 05:14:57.0,2018-01-09 05:17:57.0,180,,4,1
2018-01-09 05:21:57.0,2018-01-09 05:22:57.0,60,,4,1
