dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-10-26 12:26:29.0,2017-10-26 12:29:48.0,2017-10-26 12:35:30.0,541,199,MSRPRBR_SWL3,342,12256214
2018-01-23 18:24:19.0,2018-01-23 18:29:42.0,2018-01-23 18:33:01.0,522,323,MSRPRBR_SWL3,199,7711353
2017-11-30 10:55:06.0,2017-12-21 18:55:52.0,2017-12-21 19:00:58.0,1843552,1843246,SW01A_MSRPRBR,306,10442222
2018-06-18 18:26:35.0,2018-06-18 18:28:22.0,2018-06-18 18:31:36.0,301,107,SW01A_MSRPRBR,194,15466009
2017-11-30 10:53:53.0,2017-12-21 18:55:46.0,2017-12-21 19:01:33.0,1843660,1843313,SW01B_MSRPRBR,347,10442162
2018-06-18 18:25:22.0,2018-06-18 18:29:12.0,2018-06-18 18:32:44.0,442,230,SW01B_MSRPRBR,212,15465939
2017-10-01 19:38:13.0,2017-10-01 19:42:19.0,2017-10-01 19:48:14.0,601,246,RD01_MSRPRBR,355,7358829
2017-10-06 18:53:23.0,2017-10-06 18:56:07.0,2017-10-06 18:58:22.0,299,164,RD01_MSRPRBR,135,429065
2017-11-30 10:51:52.0,2017-12-23 20:16:02.0,2017-12-23 20:18:17.0,2021185,2021050,RD01_MSRPRBR,135,4719530
2018-02-02 14:26:54.0,2018-02-09 12:41:59.0,2018-02-09 12:52:47.0,599153,598505,RD01_MSRPRBR,648,3521452
2017-11-30 10:51:53.0,2017-12-21 18:25:51.0,2017-12-21 19:14:54.0,1844581,1841638,RD02_MSRPRBR,2943,11907105
2018-02-09 08:21:55.0,2018-02-09 12:27:20.0,2018-02-09 12:52:57.0,16262,14725,RD02_MSRPRBR,1537,4283685
2018-02-09 13:26:55.0,2018-03-29 17:45:54.0,2018-03-29 17:48:46.0,4166511,4166339,RD02_MSRPRBR,172,3576
2017-10-09 16:20:18.0,2017-10-09 16:25:00.0,2017-10-09 16:30:18.0,600,282,RD03_MSRPRBR,318,8039564
2017-11-30 10:53:41.0,2017-12-23 19:29:42.0,2017-12-23 20:08:43.0,2020502,2018161,RD03_MSRPRBR,2341,4469507
2017-12-23 20:13:42.0,2017-12-23 20:15:41.0,2017-12-23 20:18:42.0,300,119,RD03_MSRPRBR,181,2640
2018-02-02 14:13:43.0,2018-02-09 13:42:41.0,2018-02-09 13:44:54.0,603071,602938,RD03_MSRPRBR,133,3520682
2018-02-09 13:44:54.0,2018-02-09 13:52:57.0,2018-02-09 13:58:43.0,829,483,RD03_MSRPRBR,346,133
2018-02-09 13:58:43.0,2018-02-09 14:04:06.0,2018-02-09 14:06:35.0,472,323,RD03_MSRPRBR,149,346
2018-02-09 14:08:44.0,2018-03-29 18:20:09.0,2018-03-29 18:22:49.0,4166045,4165885,RD03_MSRPRBR,160,278
2018-03-29 18:42:10.0,2018-03-31 16:25:28.0,2018-03-31 16:27:29.0,164719,164598,RD03_MSRPRBR,121,1321
2018-03-31 16:27:29.0,2018-03-31 17:51:09.0,2018-03-31 17:53:40.0,5171,5020,RD03_MSRPRBR,151,121
2018-03-31 17:53:40.0,2018-03-31 18:01:43.0,2018-03-31 18:04:32.0,652,483,RD03_MSRPRBR,169,151
2018-03-31 18:07:24.0,2018-03-31 18:15:36.0,2018-03-31 18:22:24.0,900,492,RD03_MSRPRBR,408,341
2018-03-31 18:22:24.0,2018-03-31 18:28:43.0,2018-03-31 18:32:24.0,600,379,RD03_MSRPRBR,221,408
2018-03-31 18:37:24.0,2018-03-31 18:39:31.0,2018-03-31 18:42:24.0,300,127,RD03_MSRPRBR,173,522
2018-03-31 18:42:24.0,2018-03-31 18:46:29.0,2018-03-31 18:52:24.0,600,245,RD03_MSRPRBR,355,173
2018-03-31 18:52:24.0,2018-03-31 19:07:29.0,2018-03-31 19:12:24.0,1200,905,RD03_MSRPRBR,295,355
2018-03-31 19:12:24.0,2018-03-31 19:15:12.0,2018-03-31 19:17:24.0,300,168,RD03_MSRPRBR,132,295
2018-03-31 19:22:24.0,2018-03-31 19:23:18.0,2018-03-31 19:27:24.0,300,54,RD03_MSRPRBR,246,432
2018-03-31 19:27:24.0,2018-04-28 16:03:03.0,2018-04-28 16:05:13.0,2407069,2406939,RD03_MSRPRBR,130,246
2018-05-28 15:14:25.0,2018-05-28 15:19:40.0,2018-05-28 15:21:44.0,439,315,RD03_MSRPRBR,124,2589031
2018-05-28 15:24:25.0,2018-05-28 15:27:28.0,2018-05-28 15:34:26.0,601,183,RD03_MSRPRBR,418,285
2018-06-04 11:29:40.0,2018-06-04 11:30:40.0,2018-06-04 11:34:40.0,300,60,RD03_MSRPRBR,240,590521
2018-06-04 11:39:40.0,2018-06-04 11:40:30.0,2018-06-04 11:44:41.0,301,50,RD03_MSRPRBR,251,539
2017-11-30 10:51:57.0,2017-12-23 19:48:35.0,2017-12-23 20:02:16.0,2020219,2019398,RD04_MSRPRBR,821,12510735
2018-02-09 08:21:58.0,2018-02-09 12:27:22.0,2018-02-09 12:52:54.0,16256,14724,RD04_MSRPRBR,1532,4106001
2018-05-28 15:39:29.0,2018-05-28 15:43:57.0,2018-05-28 15:49:29.0,600,268,RD04_MSRPRBR,332,9345089
