dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-09-24 14:51:13.0,2017-09-24 15:06:51.0,2017-09-24 15:11:11.0,1198,938,MSRPTCU_SWL3,260,1323066
2017-09-27 10:54:19.0,2017-09-27 13:37:55.0,2017-09-27 13:42:15.0,10076,9816,MSRPTCU_SWL3,260,244052
2017-10-01 17:21:28.0,2017-10-03 13:15:28.0,2017-10-03 20:21:33.0,183605,158040,MSRPTCU_SWL3,25565,359021
2018-02-23 10:34:19.0,2018-02-23 13:44:56.0,2018-02-23 13:49:18.0,11699,11437,MSRPTCU_SWL3,262,12345127
2018-02-23 13:52:18.0,2018-02-23 15:11:11.0,2018-02-23 15:15:22.0,4984,4733,MSRPTCU_SWL3,251,442
2018-02-26 07:04:33.0,2018-02-26 10:45:51.0,2018-02-26 10:49:59.0,13526,13278,MSRPTCU_SWL3,248,229998
2018-05-03 11:06:51.0,2018-05-03 14:24:04.0,2018-05-03 14:30:51.0,12240,11833,MSRPTCU_SWL3,407,5703778
2018-05-10 12:07:07.0,2018-05-10 13:07:47.0,2018-05-10 13:13:07.0,3960,3640,MSRPTCU_SWL3,320,596594
2018-05-10 14:01:07.0,2018-05-10 14:04:37.0,2018-05-10 14:10:08.0,541,210,MSRPTCU_SWL3,331,3200
2018-05-10 15:31:07.0,2018-05-10 15:37:25.0,2018-05-10 15:43:07.0,720,378,MSRPTCU_SWL3,342,5191
2017-09-24 14:52:10.0,2017-09-24 15:06:15.0,2017-09-24 15:10:10.0,1080,845,SW01A_MSRPTCU,235,1323129
2017-09-27 10:52:15.0,2017-09-27 13:37:19.0,2017-09-27 13:41:19.0,10144,9904,SW01A_MSRPTCU,240,243960
2017-10-01 17:22:24.0,2017-10-03 13:14:55.0,2017-10-03 19:57:59.0,182135,157951,SW01A_MSRPTCU,24184,359104
2018-02-23 10:33:02.0,2018-02-23 13:44:17.0,2018-02-23 13:49:08.0,11766,11475,SW01A_MSRPTCU,291,12344646
2018-02-23 13:49:08.0,2018-02-23 15:10:37.0,2018-02-23 15:14:46.0,5138,4889,SW01A_MSRPTCU,249,291
2018-02-26 07:03:18.0,2018-02-26 10:45:17.0,2018-02-26 10:49:12.0,13554,13319,SW01A_MSRPTCU,235,229945
2018-05-03 11:05:36.0,2018-05-03 14:23:29.0,2018-05-03 14:27:35.0,12119,11873,SW01A_MSRPTCU,246,5703460
2018-05-10 12:05:51.0,2018-05-10 13:07:09.0,2018-05-10 13:11:05.0,3914,3678,SW01A_MSRPTCU,236,596524
2018-05-10 14:00:51.0,2018-05-10 14:04:02.0,2018-05-10 14:07:51.0,420,191,SW01A_MSRPTCU,229,3222
2018-05-10 15:30:51.0,2018-05-10 15:36:50.0,2018-05-10 15:41:34.0,643,359,SW01A_MSRPTCU,284,5209
2017-09-24 14:52:14.0,2017-09-24 15:06:15.0,2017-09-24 15:10:54.0,1120,841,SW01B_MSRPTCU,279,1323133
2017-09-27 10:52:19.0,2017-09-27 13:37:19.0,2017-09-27 13:41:49.0,10170,9900,SW01B_MSRPTCU,270,243964
2017-10-01 17:22:27.0,2017-10-03 13:14:55.0,2017-10-03 19:57:40.0,182113,157948,SW01B_MSRPTCU,24165,359108
2018-02-23 10:33:07.0,2018-02-23 13:44:17.0,2018-02-23 13:48:27.0,11720,11470,SW01B_MSRPTCU,250,12344640
2018-02-23 13:48:27.0,2018-02-23 15:10:36.0,2018-02-23 15:14:46.0,5179,4929,SW01B_MSRPTCU,250,250
2018-02-26 07:03:22.0,2018-02-26 10:45:17.0,2018-02-26 10:49:30.0,13568,13315,SW01B_MSRPTCU,253,229949
