dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-11-16 09:38:45.0,2017-11-16 10:39:36.0,2017-11-16 10:44:25.0,3940,3651,SW01A_MSOMAMB,289,27383685
2017-11-16 09:38:50.0,2017-11-16 10:39:36.0,2017-11-16 10:43:30.0,3880,3646,SW01B_MSOMAMB,234,27384794
2017-11-16 09:40:05.0,2017-11-16 10:39:39.0,2017-11-16 10:43:47.0,3822,3574,RD01_MSOMAMB,248,9757955
2017-11-22 13:27:09.0,2017-11-22 15:14:41.0,2017-11-22 15:21:57.0,6888,6452,RD01_MSOMAMB,436,528634
2017-11-22 15:21:57.0,2018-01-10 20:55:55.0,2018-01-10 21:06:54.0,4254297,4253638,RD01_MSOMAMB,659,436
2017-11-16 09:40:10.0,2017-11-16 10:39:40.0,2017-11-16 10:44:14.0,3844,3570,RD02_MSOMAMB,274,9757980
2018-04-25 17:56:36.0,2018-04-25 17:57:48.0,2018-04-25 18:01:36.0,300,72,RD02_MSOMAMB,228,13852805
2017-10-21 14:22:16.0,2017-10-21 14:22:56.0,2017-10-21 14:27:14.0,298,40,RD03_MSOMAMB,258,25152180
2017-10-21 14:42:13.0,2017-10-21 14:43:51.0,2017-10-21 14:47:14.0,301,98,RD03_MSOMAMB,203,1157
2017-10-21 14:57:13.0,2017-10-21 15:00:07.0,2017-10-21 15:02:13.0,300,174,RD03_MSOMAMB,126,803
2017-10-21 15:27:38.0,2017-10-21 15:28:49.0,2017-10-21 15:32:14.0,276,71,RD03_MSOMAMB,205,1651
2017-10-21 16:37:14.0,2017-10-21 16:42:49.0,2017-10-21 16:45:16.0,482,335,RD03_MSOMAMB,147,4105
2017-10-21 18:02:14.0,2017-10-21 18:06:16.0,2017-10-21 18:12:13.0,599,242,RD03_MSOMAMB,357,4764
2017-11-16 09:38:04.0,2017-11-16 10:39:40.0,2017-11-16 10:43:39.0,3935,3696,RD03_MSOMAMB,239,2215908
2017-10-20 20:22:15.0,2017-10-22 14:51:42.0,2017-10-22 14:55:09.0,153174,152967,RD04_MSOMAMB,207,25087203
2017-11-18 08:29:08.0,2017-11-22 15:14:40.0,2017-11-22 15:22:32.0,370404,369932,RD04_MSOMAMB,472,2309189
2017-11-22 15:22:32.0,2017-11-22 15:23:56.0,2017-11-22 15:30:11.0,459,84,RD04_MSOMAMB,375,472
2017-11-22 15:30:11.0,2017-11-22 16:28:45.0,2017-11-22 16:30:15.0,3604,3514,RD04_MSOMAMB,90,375
2017-11-22 16:55:11.0,2017-11-22 17:00:39.0,2017-11-22 17:05:10.0,599,328,RD04_MSOMAMB,271,1585
2017-11-28 11:14:28.0,2017-11-28 11:17:35.0,2017-11-28 11:19:27.0,299,187,RD04_MSOMAMB,112,496770
2017-11-28 11:49:28.0,2017-11-28 11:55:21.0,2017-11-28 11:59:28.0,600,353,RD04_MSOMAMB,247,1913
2018-01-05 14:00:06.0,2018-01-05 14:08:28.0,2018-01-05 14:10:44.0,638,502,RD04_MSOMAMB,136,3291542
2018-01-08 16:55:56.0,2018-01-08 17:00:42.0,2018-01-08 17:05:56.0,600,286,RD04_MSOMAMB,314,269246
2018-01-09 11:50:57.0,2018-01-09 11:57:27.0,2018-01-09 11:59:02.0,485,390,RD04_MSOMAMB,95,67814
2018-01-09 17:15:56.0,2018-01-09 17:19:10.0,2018-01-09 17:25:56.0,600,194,RD04_MSOMAMB,406,19109
2018-02-06 10:00:53.0,2018-02-06 11:13:14.0,2018-02-06 11:15:11.0,4458,4341,RD04_MSOMAMB,117,2392902
