dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2017-11-24 03:01:11.0,2017-11-24 03:02:11.0,60,,4,1
2017-11-30 10:01:11.0,2017-11-30 10:02:11.0,60,,4,1
2017-12-20 15:23:11.0,2017-12-20 15:25:12.0,121,,4,1
2017-12-20 15:26:11.0,2017-12-20 15:31:12.0,301,,4,1
2018-01-06 16:15:12.0,2018-01-06 16:16:13.0,61,,4,1
2018-01-06 16:18:12.0,2018-01-06 16:19:12.0,60,,4,1
2018-01-06 17:57:13.0,2018-01-06 17:58:12.0,59,,4,1
2018-01-06 18:08:12.0,2018-01-06 18:11:12.0,180,,4,1
2018-01-06 18:12:12.0,2018-01-06 18:16:12.0,240,,4,1
2018-01-06 18:21:12.0,2018-01-06 18:22:12.0,60,,4,1
2018-01-06 18:23:12.0,2018-01-06 18:25:13.0,121,,4,1
2018-01-06 18:26:12.0,2018-01-06 18:28:12.0,120,,4,1
2018-01-06 18:54:14.0,2018-01-06 18:55:13.0,59,,4,1
2018-01-11 12:21:12.0,2018-01-11 12:22:13.0,61,,4,1
2018-01-18 00:54:18.0,2018-01-18 00:55:13.0,55,,4,1
2018-01-18 01:12:13.0,2018-01-18 01:13:13.0,60,,4,1
2018-01-18 01:35:19.0,2018-01-18 01:36:13.0,54,,4,1
2018-01-18 02:22:17.0,2018-01-18 02:23:18.0,61,,4,1
2018-01-18 02:33:17.0,2018-01-18 02:34:18.0,61,,4,1
2018-01-18 03:04:24.0,2018-01-18 03:05:17.0,53,,4,1
2018-01-18 05:28:15.0,2018-01-18 05:29:13.0,58,,4,1
2018-01-20 04:11:26.0,2018-01-20 04:12:22.0,56,,4,1
2018-01-24 03:40:31.0,2018-01-24 03:41:31.0,60,,4,1
2018-01-24 04:15:30.0,2018-01-24 04:17:24.0,114,,4,1
2018-01-24 04:38:33.0,2018-01-24 04:40:30.0,117,,4,1
2018-01-24 04:52:30.0,2018-01-24 04:53:31.0,61,,4,1
2018-01-24 05:29:13.0,2018-01-24 05:29:30.0,17,,4,1
2018-01-24 05:45:14.0,2018-01-24 05:47:44.0,150,,4,1
2018-01-24 21:17:13.0,2018-01-24 21:25:13.0,480,,4,1
2018-02-08 01:37:13.0,2018-02-08 01:38:13.0,60,,4,1
2018-02-08 03:41:13.0,2018-02-08 03:42:13.0,60,,4,1
2018-02-19 19:58:46.0,2018-02-19 19:59:22.0,36,,4,1
2018-02-19 20:13:22.0,2018-02-19 20:14:38.0,76,,4,1
2018-02-19 21:01:47.0,2018-02-19 21:02:22.0,35,,4,1
2018-03-13 01:07:44.0,2018-03-13 01:08:15.0,31,,4,1
2018-03-20 03:58:35.0,2018-03-20 03:59:15.0,40,,4,1
2018-03-20 05:03:26.0,2018-03-20 05:04:15.0,49,,4,1
2018-04-13 03:08:20.0,2018-04-13 03:09:10.0,50,,4,1
2018-04-13 03:13:13.0,2018-04-13 03:14:10.0,57,,4,1
2018-04-21 00:37:21.0,2018-04-21 00:38:03.0,42,,4,1
